review_id,product_id,customer_id,rating,review_text,review_date,verified_purchase
RV3296615,P300712,94634106,5,Exceeded expectations,2024-11-14,Yes
RV6503040,P593956,65351820,4,Average product,2024-05-30,Yes
RV8305836,P433659,71060051,3,Poor stitching,2024-09-01,Yes
RV8044621,P368159,56266262,1,Very good quality,2024-08-16,Yes
RV6827635,P491511,36019819,3,Worth the price,2024-02-10,No
RV1160194,P252477,26938690,4,Poor stitching,2024-09-28,Yes
RV4444083,P488779,40562202,3,Size was perfect,2024-09-17,Yes
RV6332567,P055469,41843897,1,Value for money,2024-09-12,No
RV2523514,P231302,85280369,4,Value for money,2024-06-25,No
RV9958013,P478355,63633900,4,Not satisfied with material,2024-09-12,Yes
RV6104858,P433918,24977121,4,Exceeded expectations,2024-01-25,No
RV7769677,P904530,99156423,5,Very good quality,2024-02-22,No
RV3677437,P796167,58685698,3,Value for money,2024-11-07,No
RV4779333,P382205,18593873,3,Size was perfect,2024-04-03,Yes
RV4879390,P602681,39631889,2,Highly recommended,2024-07-17,Yes
RV6393105,P884809,42131218,3,Color looks great,2024-03-16,Yes
RV2405246,P539326,38321454,4,Value for money,2024-12-22,No
RV9477796,P408261,74054545,5,Value for money,2024-11-06,Yes
RV4230782,P442225,98618345,2,Exceeded expectations,2024-12-05,Yes
RV6435973,P016280,46435124,3,Poor stitching,2024-11-29,No
RV6894966,P947892,33735780,5,Not satisfied with material,2024-10-13,No
RV7682657,P786880,74203115,5,Average product,2024-01-31,No
RV2486481,P896086,33117542,3,Very good quality,2024-08-06,Yes
RV3977003,P086695,59811576,4,Size was perfect,2024-06-21,Yes
RV6566611,P839583,90937575,1,Exceeded expectations,2025-01-16,No
RV3043653,P885193,58802124,4,Worth the price,2024-09-05,No
RV4890343,P332033,24232626,4,Average product,2024-06-22,Yes
RV6615914,P844684,97709320,1,Poor stitching,2024-04-28,No
RV1194973,P079950,24803215,4,Color looks great,2024-01-24,No
RV6090445,P329961,97920552,3,Very good quality,2024-03-13,Yes
RV4695844,P822376,61676706,3,Not satisfied with material,2024-04-30,Yes
RV5081868,P718380,96068682,5,Worth the price,2024-11-24,Yes
RV1330252,P209739,75400146,3,Not satisfied with material,2024-12-09,Yes
RV4074994,P173618,46163489,4,Not satisfied with material,2024-10-02,Yes
RV1335297,P980428,61873814,4,Very good quality,2024-10-08,No
RV2315923,P470744,69237888,4,Not satisfied with material,2024-12-24,No
RV5743434,P085091,97657204,5,Not satisfied with material,2024-06-04,Yes
RV7837868,P644708,81229315,2,Value for money,2024-02-19,No
RV7482386,P357454,53552182,1,Not satisfied with material,2024-06-14,No
RV3173969,P054156,75093486,4,Average product,2024-01-06,Yes
RV9484165,P642757,32619131,5,Average product,2024-06-07,Yes
RV3292006,P075637,19021531,5,Value for money,2025-01-02,Yes
RV9596251,P016557,16847770,4,Exceeded expectations,2024-05-15,No
RV4538418,P615012,54449133,4,Not satisfied with material,2024-07-08,Yes
RV6869204,P373440,81966962,2,Highly recommended,2024-06-06,Yes
RV9753962,P216793,57763956,4,Highly recommended,2025-01-23,Yes
RV8520569,P973870,26913799,3,Highly recommended,2024-01-01,No
RV2326072,P706078,12046674,5,Color looks great,2024-10-01,No
RV5390788,P921387,88850700,1,Value for money,2024-06-24,Yes
RV3723614,P159738,59273616,1,Exceeded expectations,2024-01-17,Yes
RV1638334,P656185,46029577,5,Very good quality,2024-04-21,No
RV7285902,P129452,36083021,3,Worth the price,2024-04-26,Yes
RV8293850,P767574,79262374,3,Not satisfied with material,2024-04-27,Yes
RV2112708,P836683,28918214,1,Size was perfect,2024-07-16,Yes
RV6896895,P540168,35728044,5,Not satisfied with material,2024-07-01,Yes
RV5027061,P392415,78628519,1,Very good quality,2024-12-12,Yes
RV2131409,P681310,21093993,3,Worth the price,2024-02-06,Yes
RV1914539,P400367,50416448,5,Poor stitching,2024-06-29,No
RV9398581,P001142,67438146,5,Value for money,2024-10-23,Yes
RV7915143,P376033,63294907,2,Poor stitching,2024-03-28,No
RV1512486,P374662,71096713,2,Exceeded expectations,2024-12-04,No
RV9671583,P987612,19597778,4,Color looks great,2024-04-09,No
RV5180301,P289246,74814878,1,Size was perfect,2024-02-27,Yes
RV9980351,P351892,69596577,3,Color looks great,2024-01-05,Yes
RV4651132,P371849,85102885,4,Highly recommended,2024-05-30,No
RV6211351,P913194,82507493,3,Color looks great,2024-11-02,Yes
RV1328792,P550119,46712892,4,Size was perfect,2024-04-10,No
RV3110435,P133327,10336467,2,Size was perfect,2024-05-13,No
RV7624616,P110431,37752061,1,Highly recommended,2024-04-06,Yes
RV4593457,P841932,47329675,2,Exceeded expectations,2024-12-16,No
RV1894713,P330608,92914285,1,Value for money,2024-04-21,Yes
RV9905631,P900391,37263748,3,Exceeded expectations,2024-11-17,No
RV2026235,P847686,62819993,2,Not satisfied with material,2024-06-23,No
RV9115935,P956373,98356313,3,Exceeded expectations,2024-02-29,Yes
RV6629145,P115559,29413450,4,Worth the price,2025-01-16,No
RV1162984,P515085,57726047,1,Average product,2024-10-29,Yes
RV7401947,P793973,30861543,1,Worth the price,2024-08-17,Yes
RV7426570,P420340,65362790,2,Color looks great,2024-07-25,Yes
RV3896320,P928932,67816536,3,Exceeded expectations,2024-11-04,Yes
RV1876655,P479991,44370515,2,Highly recommended,2024-10-10,Yes
RV1872043,P612543,60260681,3,Exceeded expectations,2024-10-26,Yes
RV4210260,P552972,34834774,5,Value for money,2024-07-30,No
RV4370486,P080677,45445864,2,Value for money,2024-12-05,Yes
RV5451935,P336163,72449800,5,Value for money,2024-03-28,No
RV3959555,P927293,57337321,1,Not satisfied with material,2025-01-08,Yes
RV7439424,P213509,56511182,3,Size was perfect,2024-10-17,No
RV4137106,P933487,15490269,4,Very good quality,2024-02-17,No
RV5338667,P134836,19136694,3,Poor stitching,2024-01-15,Yes
RV6248215,P972859,20143186,3,Highly recommended,2024-02-19,Yes
RV3281337,P868231,38978233,5,Worth the price,2024-12-17,Yes
RV8415065,P766921,30638180,1,Worth the price,2024-12-11,Yes
RV1996149,P197255,54914364,4,Average product,2024-02-04,No
RV7487718,P752435,67610283,3,Very good quality,2024-03-29,No
RV5150156,P043444,65668171,5,Exceeded expectations,2025-01-21,No
RV5673025,P672572,86235530,3,Exceeded expectations,2025-01-17,Yes
RV8121982,P834136,85487782,5,Average product,2024-04-13,No
RV7585686,P604440,72029742,1,Highly recommended,2024-12-23,Yes
RV2675155,P148389,62321075,3,Poor stitching,2025-01-20,No
RV9295176,P718380,11280763,5,Size was perfect,2024-01-26,Yes
RV6573695,P903030,99053988,3,Very good quality,2024-04-17,No
RV6737192,P938196,97411405,3,Highly recommended,2024-03-13,No
RV3952918,P454942,29915331,1,Poor stitching,2025-02-02,No
RV6896828,P320400,10271852,2,Color looks great,2024-09-21,No
RV4027767,P871857,19608730,4,Size was perfect,2024-12-23,Yes
RV8592322,P551490,15485360,3,Value for money,2024-07-05,No
RV2310201,P918920,80169276,2,Size was perfect,2024-09-10,No
RV3309140,P032898,84911989,5,Poor stitching,2024-10-07,Yes
RV1902424,P212930,92328683,3,Exceeded expectations,2024-08-03,No
RV2149216,P051601,85769135,4,Exceeded expectations,2024-05-21,No
RV4001316,P691219,24018486,1,Color looks great,2024-05-17,Yes
RV5292972,P900862,75295044,4,Value for money,2024-09-19,No
RV5820671,P543676,38998149,5,Worth the price,2024-11-10,No
RV6509050,P864430,44632874,1,Average product,2024-10-15,No
RV2310106,P087201,46868629,2,Exceeded expectations,2024-02-17,No
RV5690484,P799611,82699148,3,Size was perfect,2024-07-09,No
RV5564887,P039057,89011987,5,Color looks great,2024-10-04,No
RV8630821,P859944,36878646,2,Highly recommended,2024-08-22,Yes
RV4303707,P661236,83545985,1,Very good quality,2024-12-11,No
RV6139801,P243335,53675525,5,Very good quality,2024-10-02,Yes
RV8538674,P410459,55550808,2,Worth the price,2024-09-30,Yes
RV9728799,P043811,56290024,2,Highly recommended,2024-10-13,No
RV4925420,P689517,59485496,1,Highly recommended,2024-08-11,No
RV5111478,P974950,25760435,3,Very good quality,2024-12-15,Yes
RV4319321,P945759,96312940,2,Very good quality,2024-05-24,Yes
RV9132643,P911414,52408555,2,Very good quality,2025-01-22,Yes
RV1470336,P812603,62132551,5,Very good quality,2024-08-20,No
RV1874763,P218316,53513511,4,Worth the price,2024-09-15,Yes
RV8826361,P185570,80271046,2,Not satisfied with material,2024-08-24,No
RV6954723,P785158,34131415,3,Worth the price,2024-01-31,No
RV4840335,P325564,64020169,2,Average product,2024-06-11,No
RV5219488,P137410,95952805,5,Value for money,2024-02-23,No
RV9857514,P963901,87165054,1,Highly recommended,2024-08-10,No
RV6105073,P039134,10806412,1,Poor stitching,2024-11-17,No
RV7466027,P853457,96048534,3,Average product,2024-02-02,Yes
RV8003033,P917748,72836845,3,Highly recommended,2024-12-16,No
RV1400264,P144738,47349008,5,Average product,2025-01-21,Yes
RV5639996,P026150,30485533,5,Color looks great,2024-11-20,Yes
RV4104683,P854527,19517274,3,Worth the price,2024-06-10,No
RV8742885,P482606,24860845,4,Highly recommended,2024-04-24,No
RV7162998,P581014,88125891,1,Highly recommended,2024-09-21,Yes
RV4333178,P131118,76012065,1,Value for money,2024-04-08,Yes
RV9133274,P075388,69151838,5,Size was perfect,2024-03-22,No
RV7354030,P351889,38144879,2,Highly recommended,2024-03-15,No
RV4333326,P965028,17420888,2,Color looks great,2024-02-28,No
RV9337478,P886184,60449432,3,Very good quality,2024-09-21,Yes
RV6504752,P357951,34568877,3,Exceeded expectations,2024-04-22,Yes
RV7547736,P514638,26367516,3,Average product,2024-11-19,Yes
RV4379884,P258579,77705887,5,Poor stitching,2024-08-30,Yes
RV1500751,P735527,11876621,2,Not satisfied with material,2024-12-13,No
RV8248558,P830508,23936330,3,Size was perfect,2024-04-28,No
RV4085449,P644107,51252404,2,Poor stitching,2024-08-29,Yes
RV9788569,P885529,54604288,3,Not satisfied with material,2024-01-21,No
RV8147386,P560461,13991011,5,Highly recommended,2024-08-02,No
RV7454540,P764981,40230849,4,Color looks great,2024-04-21,Yes
RV4883126,P285919,31491328,4,Very good quality,2024-10-20,Yes
RV8529765,P778899,20182111,5,Highly recommended,2024-03-04,No
RV8616191,P820902,46592901,1,Average product,2024-10-17,No
RV3920731,P535382,45078302,5,Size was perfect,2024-08-09,No
RV9643717,P818383,29154598,2,Poor stitching,2024-11-07,No
RV2549040,P797362,20215123,2,Poor stitching,2024-04-08,No
RV7548745,P027403,47084689,3,Highly recommended,2024-10-02,No
RV6720905,P558590,55190569,2,Not satisfied with material,2025-02-01,Yes
RV8600673,P189354,89341350,5,Average product,2024-04-07,Yes
RV6015041,P425913,62321075,2,Very good quality,2024-12-24,Yes
RV1617867,P956035,72276192,4,Highly recommended,2024-09-11,Yes
RV3178000,P955810,40406084,5,Worth the price,2024-03-06,Yes
RV3706185,P202552,77984521,3,Poor stitching,2024-08-19,No
RV4212822,P700419,63733082,2,Highly recommended,2024-04-06,No
RV2360656,P890181,56512892,4,Exceeded expectations,2025-01-03,No
RV5356031,P879867,93112566,3,Size was perfect,2024-09-29,No
RV2618686,P337861,77839821,5,Exceeded expectations,2024-10-14,Yes
RV6266243,P876505,63910510,5,Not satisfied with material,2024-09-04,No
RV7267356,P156246,81155173,5,Color looks great,2024-09-11,No
RV7516758,P290549,22458477,5,Size was perfect,2024-01-25,Yes
RV8709626,P692352,62727620,2,Highly recommended,2024-09-20,Yes
RV3340200,P074171,25167286,2,Very good quality,2024-11-09,Yes
RV8420918,P103112,53675525,2,Value for money,2024-01-27,No
RV7522018,P720708,37153798,2,Value for money,2024-11-26,Yes
RV8920323,P883604,98116075,4,Poor stitching,2024-04-06,No
RV4367077,P150745,80110593,1,Poor stitching,2024-08-03,Yes
RV4815763,P285919,29682432,4,Worth the price,2025-01-21,No
RV6152198,P426438,88944191,1,Average product,2024-03-15,Yes
RV4112867,P256249,69787224,3,Poor stitching,2024-06-14,No
RV3487945,P122245,78298910,5,Exceeded expectations,2024-04-14,Yes
RV6217849,P291418,93581662,1,Size was perfect,2024-07-10,Yes
RV5726460,P779931,64616231,4,Not satisfied with material,2024-12-18,Yes
RV6823891,P362567,14944333,1,Very good quality,2024-09-17,No
RV1090409,P681782,42996823,2,Highly recommended,2024-03-01,No
RV5390387,P711004,65521878,5,Very good quality,2024-01-09,No
RV4152853,P341960,27472300,4,Average product,2024-07-12,Yes
RV2412347,P140522,42112835,3,Size was perfect,2024-05-12,Yes
RV7164854,P922234,51242466,1,Worth the price,2024-09-16,Yes
RV1553282,P813673,71994650,4,Poor stitching,2024-12-04,No
RV9765326,P238238,11761906,4,Very good quality,2024-02-13,Yes
RV4319053,P591292,48328721,5,Very good quality,2024-06-27,No
RV7129048,P444876,13014127,2,Very good quality,2024-08-01,Yes
RV3603180,P529931,69055959,2,Poor stitching,2024-03-28,Yes
RV2024205,P597292,76989010,4,Size was perfect,2024-03-27,No
RV1907197,P746352,33786776,5,Not satisfied with material,2024-03-20,Yes
RV2707707,P562426,34248478,4,Not satisfied with material,2024-11-09,Yes
RV8277919,P966452,99369868,3,Very good quality,2024-03-04,Yes
RV5540695,P168426,20884758,3,Poor stitching,2024-11-28,No
RV6370846,P210885,33018599,4,Poor stitching,2024-02-18,Yes
RV5867024,P623337,96821714,5,Color looks great,2024-12-10,Yes
RV3172952,P957993,82850293,1,Exceeded expectations,2024-09-12,Yes
RV4504627,P311930,73624879,2,Highly recommended,2024-01-01,No
RV3412235,P401075,74435479,5,Value for money,2024-05-01,Yes
RV9407758,P796167,82732826,2,Size was perfect,2024-01-17,No
RV9079002,P977271,35537083,5,Average product,2024-03-20,No
RV6989362,P962078,25709236,2,Very good quality,2024-12-25,No
RV9968684,P161995,28723611,5,Poor stitching,2024-02-27,Yes
RV7258271,P094247,78804779,2,Highly recommended,2024-09-11,Yes
RV3922230,P116408,31894083,1,Size was perfect,2024-01-28,No
RV4022316,P567243,51169633,5,Very good quality,2024-05-16,No
RV6886503,P176753,28111270,2,Average product,2024-08-25,Yes
RV8602883,P764541,23027068,5,Poor stitching,2024-08-18,Yes
RV6079143,P772575,96143303,3,Not satisfied with material,2024-09-22,No
RV8378680,P355304,29934289,3,Value for money,2024-03-26,No
RV5084959,P946863,86746925,4,Exceeded expectations,2024-11-25,Yes
RV2867730,P991954,99156052,2,Average product,2024-10-18,No
RV3140115,P285442,34940625,5,Value for money,2024-07-20,No
RV3233855,P866739,25696535,3,Size was perfect,2025-01-14,Yes
RV9102885,P708028,33867460,4,Average product,2024-06-01,Yes
RV6154939,P840933,50959566,5,Color looks great,2024-11-13,No
RV1626481,P350561,86401061,5,Very good quality,2024-06-12,No
RV9624859,P838516,37233643,1,Poor stitching,2024-07-25,No
RV7229701,P740558,55968150,1,Poor stitching,2024-04-21,Yes
RV5856665,P388499,67062240,5,Poor stitching,2024-06-26,No
RV9366658,P632900,61612647,1,Highly recommended,2024-02-19,No
RV3716074,P847686,75897792,3,Highly recommended,2024-04-28,Yes
RV8973071,P117334,66091493,3,Size was perfect,2024-08-18,Yes
RV4053260,P071712,87081095,5,Value for money,2025-02-02,Yes
RV3122855,P644878,50952077,4,Highly recommended,2024-09-19,Yes
RV1698981,P745423,52154475,4,Highly recommended,2024-10-26,Yes
RV4754666,P231258,17277701,3,Size was perfect,2024-06-14,Yes
RV7985290,P581021,85737190,1,Not satisfied with material,2024-07-28,No
RV1907593,P111544,81356996,3,Value for money,2024-09-06,No
RV4024511,P980163,53590448,3,Worth the price,2024-04-20,No
RV3817585,P487739,74318758,1,Exceeded expectations,2024-07-29,Yes
RV6839184,P171678,94289304,5,Value for money,2024-04-26,Yes
RV1862377,P618306,59585463,5,Worth the price,2025-01-30,No
RV4469381,P847961,91026892,1,Average product,2024-06-11,No
RV3785562,P438115,42804762,4,Worth the price,2024-01-02,Yes
RV1848470,P781736,89701645,2,Highly recommended,2024-08-28,No
RV5349295,P947956,71220335,4,Exceeded expectations,2024-02-05,No
RV2936024,P910451,34126361,5,Value for money,2024-10-06,No
RV4967674,P213000,33007468,2,Highly recommended,2024-06-24,No
RV4890794,P641301,66642525,4,Not satisfied with material,2025-01-07,No
RV1352645,P060120,75908217,5,Value for money,2024-10-20,Yes
RV8458165,P444846,61075886,1,Color looks great,2024-05-26,Yes
RV3530415,P071443,10826007,5,Exceeded expectations,2024-05-29,Yes
RV7515164,P736574,24728191,1,Poor stitching,2024-12-18,Yes
RV4579871,P173181,50146556,3,Exceeded expectations,2024-05-26,Yes
RV2318544,P615842,18138071,4,Value for money,2025-01-18,Yes
RV5546555,P299968,54657029,3,Highly recommended,2024-05-30,No
RV1839135,P980428,86272107,2,Very good quality,2024-06-23,Yes
RV8839911,P993313,93966921,3,Worth the price,2024-09-24,Yes
RV4109203,P352327,44895124,2,Exceeded expectations,2024-11-13,No
RV4831530,P625405,53926691,1,Average product,2025-01-10,Yes
RV4607680,P946394,87997678,4,Worth the price,2024-09-04,No
RV7122773,P623825,14515127,5,Size was perfect,2024-06-07,No
RV1582819,P179659,98722512,3,Size was perfect,2024-12-01,Yes
RV5699791,P598589,21476867,3,Color looks great,2024-01-30,No
RV9897292,P528373,49473889,1,Size was perfect,2024-08-27,Yes
RV5247649,P140522,21758069,2,Color looks great,2024-01-19,Yes
RV7132164,P515600,14400364,4,Poor stitching,2024-05-12,No
RV4255850,P780586,54194785,2,Average product,2024-11-07,No
RV1558200,P669530,58685698,4,Size was perfect,2024-05-31,Yes
RV9989275,P854051,28469623,5,Not satisfied with material,2024-04-17,No
RV2983935,P458443,73992433,5,Exceeded expectations,2024-12-22,No
RV8101575,P860105,69948261,1,Poor stitching,2024-09-22,No
RV1308442,P271035,21756684,3,Very good quality,2024-01-25,Yes
RV2939247,P132833,83491094,5,Size was perfect,2024-02-09,Yes
RV2252880,P151027,78561877,3,Highly recommended,2025-01-09,Yes
RV8212314,P796167,74995047,3,Worth the price,2024-06-01,Yes
RV5001386,P877640,11117978,1,Exceeded expectations,2024-06-20,No
RV9171719,P574332,75964778,3,Not satisfied with material,2024-06-10,No
RV4667390,P184191,22830128,3,Highly recommended,2024-01-14,No
RV4595599,P545126,20465858,1,Value for money,2024-03-01,Yes
RV2830910,P363014,18208155,4,Value for money,2024-03-14,No
RV3735031,P988484,64523601,4,Poor stitching,2024-06-21,No
RV4594322,P991424,17653395,1,Size was perfect,2024-05-02,Yes
RV7193819,P194481,19384922,5,Very good quality,2024-12-17,No
RV4741264,P632227,89267092,4,Average product,2024-03-29,No
RV8451203,P398368,99998537,4,Very good quality,2024-05-23,Yes
RV6802734,P444594,45642322,3,Highly recommended,2024-09-23,No
RV7846849,P707925,63497255,4,Value for money,2024-06-26,No
RV2792518,P457183,81120556,5,Value for money,2024-10-12,No
RV4212627,P873844,53644992,1,Average product,2024-10-07,Yes
RV6333289,P882781,44869711,2,Very good quality,2024-09-06,Yes
RV9175949,P377303,34189162,2,Highly recommended,2024-10-26,Yes
RV4558703,P369332,28445142,1,Very good quality,2024-03-19,Yes
RV2746571,P979115,72820853,4,Poor stitching,2024-07-30,Yes
RV8310154,P573728,32635642,1,Not satisfied with material,2024-09-15,Yes
RV3550834,P751485,62499198,4,Highly recommended,2024-08-10,No
RV3225262,P316221,97402854,4,Very good quality,2024-06-27,No
RV4771021,P147601,99356691,4,Value for money,2024-02-11,No
RV1689063,P892386,96816390,2,Poor stitching,2024-07-09,No
RV8682888,P683754,16441642,2,Value for money,2024-04-16,Yes
RV7560693,P133327,89239736,4,Not satisfied with material,2024-04-01,Yes
RV1386947,P200282,25192811,2,Value for money,2025-01-21,No
RV1924595,P669011,42133591,4,Value for money,2024-05-26,No
RV1660628,P084315,17211544,1,Value for money,2024-11-19,Yes
RV5863315,P897557,42763347,3,Size was perfect,2024-02-11,No
RV9516433,P074152,70008810,5,Average product,2024-09-04,No
RV3417758,P854051,25350864,5,Exceeded expectations,2024-01-20,Yes
RV4200764,P769309,86365168,4,Value for money,2024-08-30,Yes
RV1905337,P857821,90466923,3,Not satisfied with material,2024-11-15,Yes
RV2622758,P782809,45093331,4,Value for money,2024-04-26,No
RV3529770,P870513,72385183,2,Poor stitching,2024-11-28,No
RV6017453,P580375,81754897,5,Value for money,2024-11-10,No
RV4729741,P290930,83417506,4,Very good quality,2024-11-11,No
RV3202733,P037868,28464641,5,Very good quality,2025-01-03,No
RV6510957,P001646,88545091,3,Size was perfect,2024-07-15,Yes
RV7339361,P088667,21527574,5,Poor stitching,2024-10-15,No
RV4015945,P801929,38862469,5,Not satisfied with material,2024-08-07,No
RV7158537,P818995,55498877,4,Exceeded expectations,2024-07-16,No
RV8956176,P407260,95744222,1,Size was perfect,2024-01-21,No
RV3346019,P295767,48987565,4,Average product,2024-04-14,No
RV5242792,P626560,12583249,1,Worth the price,2024-06-16,No
RV8420504,P820035,43366136,3,Poor stitching,2025-01-26,Yes
RV1535778,P488262,62408590,1,Exceeded expectations,2024-04-07,No
RV5654347,P557273,69089738,3,Color looks great,2024-05-23,No
RV3832900,P022570,46020775,4,Value for money,2024-07-02,Yes
RV8872113,P861566,41131712,5,Highly recommended,2024-05-11,Yes
RV1882275,P489030,32633813,4,Value for money,2024-08-17,No
RV1392820,P499338,66573953,1,Size was perfect,2024-11-20,Yes
RV4798145,P535205,68487621,5,Size was perfect,2024-08-16,No
RV3890205,P118473,41279237,2,Not satisfied with material,2025-01-19,Yes
RV9712896,P114893,81789448,2,Color looks great,2024-11-11,No
RV1044598,P636557,24992460,5,Value for money,2024-06-27,No
RV9582919,P022306,80426551,1,Not satisfied with material,2024-08-28,Yes
RV2112945,P709180,56266262,4,Size was perfect,2024-09-20,Yes
RV6030303,P355187,12389147,2,Size was perfect,2024-07-28,Yes
RV5092107,P160139,86120033,4,Highly recommended,2024-05-01,No
RV4101138,P941055,28062893,4,Value for money,2024-10-13,Yes
RV9681301,P461018,90781430,2,Not satisfied with material,2024-04-20,No
RV1544693,P500170,67374775,5,Poor stitching,2024-03-22,Yes
RV5832981,P767447,49356570,5,Highly recommended,2024-05-09,No
RV2367292,P821590,76010234,1,Very good quality,2024-05-19,Yes
RV7315409,P994832,46171031,2,Very good quality,2024-03-09,Yes
RV5798836,P266663,13078453,2,Color looks great,2024-11-09,Yes
RV2467779,P789158,31077649,3,Size was perfect,2025-01-18,No
RV7116077,P915640,37451209,3,Value for money,2024-12-23,No
RV8493658,P741436,66974684,1,Very good quality,2024-12-02,Yes
RV4139437,P074420,12998765,3,Very good quality,2024-11-18,No
RV6819087,P829820,73764200,1,Size was perfect,2024-10-27,No
RV5077723,P583872,10475613,5,Exceeded expectations,2024-09-14,No
RV7785617,P216738,85446639,2,Highly recommended,2024-07-15,No
RV8740954,P148576,94228485,3,Not satisfied with material,2024-02-06,Yes
RV4634135,P483462,28598483,1,Not satisfied with material,2024-02-05,Yes
RV3693552,P083479,48767524,4,Value for money,2024-08-22,Yes
RV5589684,P539201,26981886,1,Exceeded expectations,2024-10-07,No
RV2409214,P175168,74922038,1,Poor stitching,2024-03-22,No
RV3539257,P492624,99875087,3,Very good quality,2024-06-20,No
RV7090270,P136499,80935210,5,Size was perfect,2025-01-18,No
RV6978787,P706032,40648041,5,Average product,2024-04-01,No
RV2173423,P865819,36717009,1,Value for money,2024-03-15,No
RV8726460,P017070,74729615,1,Color looks great,2025-02-03,Yes
RV8360142,P840929,81116142,3,Highly recommended,2024-11-17,Yes
RV3978212,P577591,16800249,2,Size was perfect,2024-09-27,No
RV7142402,P136953,19790065,4,Not satisfied with material,2024-03-14,Yes
RV8973172,P023319,53784059,1,Highly recommended,2024-11-01,No
RV3415756,P805564,64692043,2,Average product,2024-04-07,Yes
RV4399428,P258579,35828126,4,Highly recommended,2024-10-13,Yes
RV6310576,P805293,27973579,1,Worth the price,2024-10-09,No
RV6490314,P300928,49414987,3,Worth the price,2024-05-27,Yes
RV1871940,P573969,54787984,4,Value for money,2024-04-18,Yes
RV9272798,P708594,49090927,2,Worth the price,2024-07-24,No
RV4761505,P114421,64279261,5,Exceeded expectations,2024-07-15,Yes
RV3471256,P186775,62399803,5,Average product,2024-08-07,No
RV7302978,P048424,50826552,2,Worth the price,2025-01-16,Yes
RV2148157,P242657,86199088,1,Exceeded expectations,2024-09-19,Yes
RV9104112,P397918,56978237,4,Poor stitching,2024-06-26,No
RV2593057,P064120,30935739,1,Highly recommended,2024-04-30,Yes
RV2210816,P371945,18699944,2,Color looks great,2024-03-29,Yes
RV1940803,P396813,63333678,1,Highly recommended,2024-07-27,No
RV9674899,P339658,70207906,3,Average product,2024-07-18,Yes
RV6056974,P008596,89363157,5,Exceeded expectations,2024-02-11,No
RV5585759,P321319,98771178,3,Worth the price,2024-08-13,No
RV5593646,P168994,41424287,3,Value for money,2024-01-18,No
RV3713443,P675095,42661432,3,Very good quality,2024-10-24,No
