inventory_id,product_id,brand,available_stock,warehouse,restock_date,stock_status
INV8754839,P912317,Brand_21,499,Mumbai FC,,In Stock
INV1853815,P172137,Brand_23,182,Hyderabad FC,,In Stock
INV6925307,P911012,Brand_15,73,Mumbai FC,,In Stock
INV9863211,P074594,Brand_14,253,Hyderabad FC,,In Stock
INV8597752,P928049,Brand_38,195,Chennai FC,,In Stock
INV3117438,P351634,Brand_30,384,Pune FC,,In Stock
INV4305181,P597285,Brand_23,409,Bangalore FC,,In Stock
INV9924537,P222106,Brand_21,179,Chennai FC,,In Stock
INV2414245,P612076,Brand_2,463,Hyderabad FC,,In Stock
INV1329156,P036854,Brand_43,59,Bangalore FC,,In Stock
INV1610523,P404275,Brand_46,53,Mumbai FC,,In Stock
INV5315024,P720369,Brand_32,442,Chennai FC,,In Stock
INV8156644,P718380,Brand_20,337,Pune FC,,In Stock
INV1208093,P124270,Brand_34,89,Chennai FC,,In Stock
INV9125093,P317549,Brand_25,388,Chennai FC,,In Stock
INV7593454,P684945,Brand_32,49,Chennai FC,2026-03-01,Low Stock
INV9753903,P573989,Brand_44,128,Bangalore FC,,In Stock
INV4001094,P158988,Brand_17,235,Bangalore FC,,In Stock
INV6572082,P229409,Brand_46,439,Mumbai FC,,In Stock
INV1914553,P385470,Brand_32,161,Pune FC,,In Stock
INV1746954,P446665,Brand_37,396,Bangalore FC,,In Stock
INV7377690,P072262,Brand_13,56,Bangalore FC,,In Stock
INV5206836,P665555,Brand_41,384,Mumbai FC,,In Stock
INV4740462,P636244,Brand_3,4,Delhi FC,2026-03-16,Low Stock
INV9173640,P580375,Brand_9,372,Pune FC,,In Stock
INV8834220,P373440,Brand_22,429,Hyderabad FC,,In Stock
INV7338161,P471441,Brand_12,27,Pune FC,2026-04-05,Low Stock
INV3700648,P029855,Brand_46,308,Chennai FC,,In Stock
INV6114039,P967925,Brand_2,286,Chennai FC,,In Stock
INV2955783,P173618,Brand_37,85,Pune FC,,In Stock
INV4851605,P328224,Brand_45,475,Hyderabad FC,,In Stock
INV7001719,P473094,Brand_34,500,Pune FC,,In Stock
INV1511091,P660932,Brand_43,488,Mumbai FC,,In Stock
INV9467947,P612016,Brand_4,296,Chennai FC,,In Stock
INV1968610,P969733,Brand_50,124,Chennai FC,,In Stock
INV9113986,P882496,Brand_40,306,Hyderabad FC,,In Stock
INV2587872,P319794,Brand_12,346,Delhi FC,,In Stock
INV7843488,P038928,Brand_43,155,Pune FC,,In Stock
INV2168491,P827970,Brand_41,127,Mumbai FC,,In Stock
INV8033243,P587048,Brand_6,0,Mumbai FC,2026-03-15,Out of Stock
INV1999147,P656668,Brand_3,377,Pune FC,,In Stock
INV1941578,P546024,Brand_3,367,Bangalore FC,,In Stock
INV3539037,P427636,Brand_26,185,Hyderabad FC,,In Stock
INV3052218,P077410,Brand_6,3,Chennai FC,2026-03-24,Low Stock
INV7011919,P903574,Brand_46,290,Pune FC,,In Stock
INV2019238,P914763,Brand_25,399,Pune FC,,In Stock
INV9303854,P315506,Brand_7,295,Chennai FC,,In Stock
INV5646741,P410117,Brand_27,426,Bangalore FC,,In Stock
INV6037264,P029393,Brand_21,175,Delhi FC,,In Stock
INV3686685,P312608,Brand_38,409,Pune FC,,In Stock
INV4585503,P697385,Brand_3,359,Mumbai FC,,In Stock
INV5550037,P650484,Brand_39,165,Delhi FC,,In Stock
INV8228003,P547313,Brand_34,304,Hyderabad FC,,In Stock
INV6401160,P234687,Brand_2,354,Mumbai FC,,In Stock
INV2933542,P542727,Brand_38,353,Pune FC,,In Stock
INV6735816,P925633,Brand_14,130,Chennai FC,,In Stock
INV4173514,P265225,Brand_42,302,Bangalore FC,,In Stock
INV6375695,P299793,Brand_43,106,Pune FC,,In Stock
INV3860706,P459368,Brand_36,97,Pune FC,,In Stock
INV3209726,P582812,Brand_32,198,Pune FC,,In Stock
INV4197020,P156458,Brand_19,352,Hyderabad FC,,In Stock
INV4034097,P151678,Brand_38,340,Delhi FC,,In Stock
INV6283644,P361150,Brand_8,431,Delhi FC,,In Stock
INV9107559,P726958,Brand_15,61,Bangalore FC,,In Stock
INV5438368,P531337,Brand_28,258,Delhi FC,,In Stock
INV7441453,P785514,Brand_23,145,Hyderabad FC,,In Stock
INV2738502,P437456,Brand_19,143,Chennai FC,,In Stock
INV5730031,P220479,Brand_49,327,Pune FC,,In Stock
INV5212521,P229516,Brand_25,205,Pune FC,,In Stock
INV5542199,P930972,Brand_2,97,Pune FC,,In Stock
INV1506032,P086565,Brand_30,109,Hyderabad FC,,In Stock
INV3487534,P721181,Brand_12,299,Chennai FC,,In Stock
INV8173517,P085820,Brand_38,320,Bangalore FC,,In Stock
INV5136770,P368324,Brand_40,203,Mumbai FC,,In Stock
INV9903240,P106818,Brand_46,9,Mumbai FC,2026-02-25,Low Stock
INV4142766,P112870,Brand_25,132,Chennai FC,,In Stock
INV4477606,P833310,Brand_30,365,Mumbai FC,,In Stock
INV1181870,P155372,Brand_49,152,Chennai FC,,In Stock
INV6478836,P361580,Brand_13,73,Pune FC,,In Stock
INV8530615,P488721,Brand_33,188,Pune FC,,In Stock
INV3601826,P351892,Brand_49,318,Mumbai FC,,In Stock
INV1278259,P177519,Brand_41,292,Hyderabad FC,,In Stock
INV3910356,P056406,Brand_13,112,Hyderabad FC,,In Stock
INV8596431,P236408,Brand_4,273,Pune FC,,In Stock
INV5309335,P335983,Brand_24,292,Pune FC,,In Stock
INV6667680,P006516,Brand_29,286,Hyderabad FC,,In Stock
INV4266665,P400943,Brand_41,47,Hyderabad FC,2026-02-27,Low Stock
INV3967911,P290272,Brand_3,296,Hyderabad FC,,In Stock
INV5001106,P800186,Brand_48,340,Mumbai FC,,In Stock
INV1942321,P729674,Brand_11,206,Delhi FC,,In Stock
INV4167811,P982850,Brand_12,113,Pune FC,,In Stock
INV8327593,P101921,Brand_37,420,Mumbai FC,,In Stock
INV4992724,P618881,Brand_17,202,Mumbai FC,,In Stock
INV3034151,P701556,Brand_6,7,Chennai FC,2026-02-19,Low Stock
INV7132955,P098354,Brand_32,250,Mumbai FC,,In Stock
INV1919555,P810157,Brand_38,225,Delhi FC,,In Stock
INV5295147,P550500,Brand_38,419,Chennai FC,,In Stock
INV9429332,P041324,Brand_48,406,Chennai FC,,In Stock
INV7272762,P407513,Brand_11,366,Chennai FC,,In Stock
INV9301617,P009916,Brand_31,91,Bangalore FC,,In Stock
INV1680641,P840554,Brand_5,307,Delhi FC,,In Stock
INV8757466,P972193,Brand_7,495,Pune FC,,In Stock
INV5917444,P517541,Brand_44,121,Bangalore FC,,In Stock
INV3726969,P580675,Brand_8,379,Chennai FC,,In Stock
INV9756599,P122118,Brand_5,159,Pune FC,,In Stock
INV4501237,P861566,Brand_45,318,Chennai FC,,In Stock
INV6519083,P777157,Brand_23,316,Chennai FC,,In Stock
INV8699268,P770826,Brand_33,49,Delhi FC,2026-04-13,Low Stock
INV8331880,P484464,Brand_44,233,Pune FC,,In Stock
INV2865099,P169838,Brand_49,132,Chennai FC,,In Stock
INV9388349,P841038,Brand_39,53,Bangalore FC,,In Stock
INV1905260,P024352,Brand_20,333,Delhi FC,,In Stock
INV9575479,P251440,Brand_13,306,Pune FC,,In Stock
INV3670880,P763565,Brand_40,455,Bangalore FC,,In Stock
INV4951383,P989743,Brand_1,108,Hyderabad FC,,In Stock
INV2190049,P722989,Brand_24,474,Hyderabad FC,,In Stock
INV8038642,P710184,Brand_14,486,Bangalore FC,,In Stock
INV5664484,P571670,Brand_38,182,Bangalore FC,,In Stock
INV6549514,P050181,Brand_42,337,Hyderabad FC,,In Stock
INV8102192,P731590,Brand_46,218,Delhi FC,,In Stock
INV6774096,P837511,Brand_32,351,Pune FC,,In Stock
INV4125526,P366020,Brand_1,220,Delhi FC,,In Stock
INV6247677,P987075,Brand_30,188,Chennai FC,,In Stock
INV3987108,P179659,Brand_45,497,Delhi FC,,In Stock
INV2100548,P558763,Brand_10,449,Bangalore FC,,In Stock
INV8600153,P031168,Brand_47,25,Mumbai FC,2026-04-17,Low Stock
INV4448666,P153213,Brand_25,11,Chennai FC,2026-04-09,Low Stock
INV5325168,P213249,Brand_19,47,Pune FC,2026-02-26,Low Stock
INV6572138,P228032,Brand_34,367,Bangalore FC,,In Stock
INV5522456,P318241,Brand_14,82,Pune FC,,In Stock
INV1209226,P586263,Brand_11,235,Bangalore FC,,In Stock
INV5392943,P668209,Brand_37,400,Pune FC,,In Stock
INV2579815,P958923,Brand_1,12,Pune FC,2026-03-29,Low Stock
INV5245634,P190496,Brand_42,293,Mumbai FC,,In Stock
INV8764755,P395471,Brand_1,22,Chennai FC,2026-03-04,Low Stock
INV5592736,P650188,Brand_33,167,Hyderabad FC,,In Stock
INV6362906,P323211,Brand_43,46,Chennai FC,2026-03-13,Low Stock
INV7995105,P562750,Brand_22,203,Mumbai FC,,In Stock
INV6362247,P705907,Brand_28,359,Pune FC,,In Stock
INV9564779,P493264,Brand_3,111,Delhi FC,,In Stock
INV7453584,P331144,Brand_36,318,Pune FC,,In Stock
INV7910637,P842112,Brand_34,131,Hyderabad FC,,In Stock
INV8561415,P221193,Brand_12,262,Pune FC,,In Stock
INV4888243,P746667,Brand_16,328,Pune FC,,In Stock
INV5129146,P578455,Brand_21,391,Mumbai FC,,In Stock
INV7785049,P564470,Brand_46,176,Mumbai FC,,In Stock
INV1577533,P710184,Brand_14,125,Delhi FC,,In Stock
INV3667331,P052008,Brand_30,260,Mumbai FC,,In Stock
INV8294596,P401201,Brand_26,364,Hyderabad FC,,In Stock
INV8472314,P285831,Brand_47,265,Chennai FC,,In Stock
INV4017915,P945125,Brand_7,457,Delhi FC,,In Stock
INV2360427,P951152,Brand_36,343,Mumbai FC,,In Stock
INV1788441,P750889,Brand_39,12,Mumbai FC,2026-04-08,Low Stock
INV8299497,P131007,Brand_35,294,Hyderabad FC,,In Stock
INV9114723,P772051,Brand_26,360,Chennai FC,,In Stock
INV3306117,P359922,Brand_45,458,Pune FC,,In Stock
INV4358072,P430294,Brand_42,452,Hyderabad FC,,In Stock
INV9088895,P738831,Brand_46,317,Pune FC,,In Stock
INV9877074,P627433,Brand_15,132,Bangalore FC,,In Stock
INV3346444,P189122,Brand_6,464,Bangalore FC,,In Stock
INV7463378,P729674,Brand_11,104,Hyderabad FC,,In Stock
INV7210947,P719642,Brand_11,49,Mumbai FC,2026-03-23,Low Stock
INV3865787,P554991,Brand_11,348,Bangalore FC,,In Stock
INV6909754,P237095,Brand_29,264,Delhi FC,,In Stock
INV6828089,P716235,Brand_46,136,Hyderabad FC,,In Stock
INV7569699,P330391,Brand_44,237,Bangalore FC,,In Stock
INV5388507,P673003,Brand_6,19,Hyderabad FC,2026-02-20,Low Stock
INV5527134,P044798,Brand_47,417,Bangalore FC,,In Stock
INV4453448,P548685,Brand_10,313,Delhi FC,,In Stock
INV4222018,P642757,Brand_42,285,Hyderabad FC,,In Stock
INV8529331,P519039,Brand_34,19,Hyderabad FC,2026-02-27,Low Stock
INV6046391,P302570,Brand_28,16,Chennai FC,2026-04-03,Low Stock
INV3309881,P925172,Brand_30,437,Mumbai FC,,In Stock
INV1531072,P042591,Brand_13,167,Chennai FC,,In Stock
INV8075101,P239732,Brand_35,416,Bangalore FC,,In Stock
INV4959055,P030036,Brand_31,484,Hyderabad FC,,In Stock
INV9205674,P402880,Brand_1,213,Delhi FC,,In Stock
INV6616014,P723049,Brand_2,422,Bangalore FC,,In Stock
INV9416990,P245951,Brand_9,393,Mumbai FC,,In Stock
INV2821937,P625923,Brand_5,319,Bangalore FC,,In Stock
INV8107792,P633988,Brand_26,255,Mumbai FC,,In Stock
INV9047926,P338565,Brand_44,27,Chennai FC,2026-04-06,Low Stock
INV6589147,P861575,Brand_44,305,Bangalore FC,,In Stock
INV3937757,P037218,Brand_3,395,Pune FC,,In Stock
INV1006110,P662074,Brand_26,426,Pune FC,,In Stock
INV6658172,P651668,Brand_49,349,Hyderabad FC,,In Stock
INV8190875,P353949,Brand_35,314,Mumbai FC,,In Stock
INV5486290,P512513,Brand_49,111,Bangalore FC,,In Stock
INV4644495,P947856,Brand_47,223,Pune FC,,In Stock
INV1009647,P084829,Brand_16,466,Bangalore FC,,In Stock
INV8433542,P801929,Brand_37,71,Hyderabad FC,,In Stock
INV2857841,P009390,Brand_42,158,Delhi FC,,In Stock
INV2476224,P679751,Brand_17,263,Hyderabad FC,,In Stock
INV7603345,P208366,Brand_5,11,Hyderabad FC,2026-03-15,Low Stock
INV5632052,P410814,Brand_16,183,Mumbai FC,,In Stock
INV3499091,P300178,Brand_27,398,Mumbai FC,,In Stock
INV2963342,P037312,Brand_10,342,Bangalore FC,,In Stock
INV7258149,P644770,Brand_7,128,Chennai FC,,In Stock
INV4037578,P021110,Brand_31,436,Bangalore FC,,In Stock
INV1612726,P249189,Brand_38,190,Pune FC,,In Stock
INV6007809,P949578,Brand_38,382,Chennai FC,,In Stock
INV7289258,P903353,Brand_36,2,Delhi FC,2026-03-27,Low Stock
INV7175330,P245250,Brand_9,322,Hyderabad FC,,In Stock
INV5509732,P135243,Brand_33,66,Mumbai FC,,In Stock
INV5529202,P358855,Brand_6,201,Delhi FC,,In Stock
INV7425441,P107661,Brand_49,185,Hyderabad FC,,In Stock
INV5679472,P265515,Brand_1,362,Pune FC,,In Stock
INV1604161,P535587,Brand_11,234,Delhi FC,,In Stock
INV9178016,P778720,Brand_25,182,Hyderabad FC,,In Stock
INV1229990,P189084,Brand_22,363,Chennai FC,,In Stock
INV4001467,P932043,Brand_12,84,Pune FC,,In Stock
INV1304470,P602455,Brand_13,385,Mumbai FC,,In Stock
INV3935783,P950370,Brand_31,136,Pune FC,,In Stock
INV5962506,P208780,Brand_42,210,Pune FC,,In Stock
INV9006396,P890316,Brand_21,363,Hyderabad FC,,In Stock
INV6576869,P318291,Brand_28,486,Mumbai FC,,In Stock
INV6938580,P017070,Brand_35,149,Pune FC,,In Stock
INV2107905,P717870,Brand_33,464,Hyderabad FC,,In Stock
INV8769996,P710812,Brand_3,118,Hyderabad FC,,In Stock
INV4789336,P726375,Brand_45,240,Pune FC,,In Stock
INV9473053,P199182,Brand_13,358,Hyderabad FC,,In Stock
INV4647652,P294609,Brand_33,463,Chennai FC,,In Stock
INV7436575,P218118,Brand_38,52,Delhi FC,,In Stock
INV9531885,P053388,Brand_42,65,Delhi FC,,In Stock
INV6218215,P627351,Brand_44,283,Bangalore FC,,In Stock
INV5779170,P618699,Brand_20,498,Pune FC,,In Stock
INV8612949,P301971,Brand_33,220,Mumbai FC,,In Stock
INV1696254,P176471,Brand_20,404,Mumbai FC,,In Stock
INV1770797,P333684,Brand_31,493,Delhi FC,,In Stock
INV9063096,P977428,Brand_33,480,Bangalore FC,,In Stock
INV2594420,P396695,Brand_38,155,Delhi FC,,In Stock
INV6534427,P018890,Brand_18,145,Bangalore FC,,In Stock
INV8443031,P264610,Brand_6,9,Hyderabad FC,2026-03-06,Low Stock
INV6172527,P372711,Brand_22,213,Bangalore FC,,In Stock
INV3933302,P004322,Brand_35,184,Mumbai FC,,In Stock
INV1258046,P343815,Brand_45,158,Bangalore FC,,In Stock
INV6392358,P604724,Brand_34,312,Delhi FC,,In Stock
INV2236616,P096187,Brand_47,321,Delhi FC,,In Stock
INV9953650,P116068,Brand_35,109,Bangalore FC,,In Stock
INV9933611,P891548,Brand_39,100,Bangalore FC,,In Stock
INV4565856,P336885,Brand_41,406,Chennai FC,,In Stock
INV6363812,P976813,Brand_30,500,Pune FC,,In Stock
INV2074919,P451546,Brand_29,2,Bangalore FC,2026-03-11,Low Stock
INV3812598,P361419,Brand_22,358,Delhi FC,,In Stock
INV4092198,P171968,Brand_22,150,Pune FC,,In Stock
INV8697247,P267822,Brand_34,475,Delhi FC,,In Stock
INV9504021,P859681,Brand_40,352,Chennai FC,,In Stock
INV4140021,P241003,Brand_41,225,Chennai FC,,In Stock
INV2901189,P590888,Brand_33,392,Mumbai FC,,In Stock
INV5634223,P777736,Brand_42,369,Bangalore FC,,In Stock
INV9470548,P681782,Brand_46,281,Bangalore FC,,In Stock
INV1903219,P488262,Brand_43,265,Mumbai FC,,In Stock
INV7108793,P208122,Brand_9,426,Bangalore FC,,In Stock
INV7363350,P919739,Brand_18,383,Delhi FC,,In Stock
INV6625593,P945662,Brand_47,430,Hyderabad FC,,In Stock
INV4714245,P157822,Brand_8,355,Hyderabad FC,,In Stock
INV8593747,P447296,Brand_24,422,Mumbai FC,,In Stock
INV1121912,P151678,Brand_38,283,Bangalore FC,,In Stock
INV7772134,P520749,Brand_4,22,Mumbai FC,2026-04-09,Low Stock
INV7845587,P344077,Brand_6,430,Mumbai FC,,In Stock
INV9792055,P353755,Brand_39,332,Mumbai FC,,In Stock
INV3467235,P471208,Brand_15,412,Chennai FC,,In Stock
INV9514503,P239177,Brand_33,110,Mumbai FC,,In Stock
INV4234630,P819938,Brand_6,300,Pune FC,,In Stock
INV9896316,P786564,Brand_35,342,Mumbai FC,,In Stock
INV3868783,P295522,Brand_35,414,Bangalore FC,,In Stock
INV6243589,P856692,Brand_27,238,Chennai FC,,In Stock
INV5189241,P169838,Brand_49,465,Chennai FC,,In Stock
INV5921015,P350561,Brand_8,26,Hyderabad FC,2026-04-15,Low Stock
INV3154962,P244653,Brand_5,374,Delhi FC,,In Stock
INV2821018,P364603,Brand_43,161,Hyderabad FC,,In Stock
INV3077733,P168426,Brand_11,287,Bangalore FC,,In Stock
INV8803501,P783341,Brand_49,287,Delhi FC,,In Stock
INV3677920,P144928,Brand_23,416,Delhi FC,,In Stock
INV9951000,P705519,Brand_36,266,Chennai FC,,In Stock
INV4272948,P462773,Brand_47,220,Bangalore FC,,In Stock
INV6972278,P536212,Brand_21,426,Mumbai FC,,In Stock
INV7079136,P332471,Brand_2,495,Hyderabad FC,,In Stock
INV7457928,P928657,Brand_26,357,Bangalore FC,,In Stock
INV8890915,P935581,Brand_36,155,Mumbai FC,,In Stock
INV1602256,P506641,Brand_45,482,Hyderabad FC,,In Stock
INV2767010,P377893,Brand_40,322,Mumbai FC,,In Stock
INV4398626,P204694,Brand_11,440,Mumbai FC,,In Stock
INV9895167,P527536,Brand_3,311,Pune FC,,In Stock
INV7804611,P489149,Brand_16,116,Bangalore FC,,In Stock
INV1885208,P675916,Brand_2,478,Chennai FC,,In Stock
INV7413957,P854406,Brand_34,413,Delhi FC,,In Stock
INV1958597,P971726,Brand_38,222,Delhi FC,,In Stock
INV6760433,P789178,Brand_39,38,Chennai FC,2026-04-10,Low Stock
INV3419843,P115824,Brand_42,323,Chennai FC,,In Stock
INV5369449,P529737,Brand_10,402,Delhi FC,,In Stock
INV2496890,P744611,Brand_8,317,Chennai FC,,In Stock
INV9232610,P526919,Brand_19,269,Bangalore FC,,In Stock
INV3807902,P445997,Brand_33,497,Bangalore FC,,In Stock
INV7501343,P498991,Brand_4,486,Pune FC,,In Stock
INV4239845,P315850,Brand_22,172,Mumbai FC,,In Stock
INV7862328,P345676,Brand_19,302,Delhi FC,,In Stock
INV3127596,P636557,Brand_20,339,Chennai FC,,In Stock
INV1198517,P365810,Brand_28,203,Mumbai FC,,In Stock
INV9150369,P072894,Brand_8,403,Delhi FC,,In Stock
INV4344527,P253956,Brand_28,8,Hyderabad FC,2026-04-13,Low Stock
INV8368651,P679359,Brand_32,7,Delhi FC,2026-03-08,Low Stock
INV1268576,P275781,Brand_9,10,Delhi FC,2026-03-20,Low Stock
INV6831659,P425266,Brand_43,325,Chennai FC,,In Stock
INV4963817,P768703,Brand_14,239,Chennai FC,,In Stock
INV9175865,P136302,Brand_7,393,Hyderabad FC,,In Stock
INV7261573,P131433,Brand_20,391,Chennai FC,,In Stock
INV6265088,P192086,Brand_33,88,Hyderabad FC,,In Stock
INV1726864,P753424,Brand_4,466,Bangalore FC,,In Stock
INV8393443,P666808,Brand_42,199,Delhi FC,,In Stock
INV9783598,P286997,Brand_24,262,Delhi FC,,In Stock
INV3097861,P747610,Brand_3,418,Bangalore FC,,In Stock
INV7227395,P568564,Brand_10,159,Bangalore FC,,In Stock
INV7722267,P171106,Brand_34,359,Hyderabad FC,,In Stock
INV5067759,P092846,Brand_5,418,Bangalore FC,,In Stock
INV7103462,P329163,Brand_29,155,Bangalore FC,,In Stock
INV5291031,P322426,Brand_10,246,Hyderabad FC,,In Stock
INV8336962,P990920,Brand_1,16,Hyderabad FC,2026-02-24,Low Stock
INV6060368,P014866,Brand_44,50,Bangalore FC,,In Stock
INV9014104,P366330,Brand_42,7,Delhi FC,2026-04-12,Low Stock
INV1287886,P473786,Brand_20,234,Mumbai FC,,In Stock
INV5122506,P633873,Brand_44,309,Bangalore FC,,In Stock
INV2427156,P373541,Brand_25,494,Bangalore FC,,In Stock
INV2058666,P007959,Brand_20,35,Bangalore FC,2026-03-23,Low Stock
INV1600579,P024208,Brand_47,347,Bangalore FC,,In Stock
INV3380860,P503391,Brand_42,418,Hyderabad FC,,In Stock
INV5201594,P828799,Brand_20,56,Delhi FC,,In Stock
INV4731530,P053095,Brand_39,26,Bangalore FC,2026-04-01,Low Stock
INV4049977,P253279,Brand_11,490,Bangalore FC,,In Stock
INV7610718,P806580,Brand_48,149,Hyderabad FC,,In Stock
INV8772214,P680151,Brand_40,318,Mumbai FC,,In Stock
INV1347902,P673448,Brand_26,230,Hyderabad FC,,In Stock
INV8309735,P981797,Brand_19,198,Chennai FC,,In Stock
INV7872240,P334708,Brand_39,97,Delhi FC,,In Stock
INV7035662,P695895,Brand_20,258,Mumbai FC,,In Stock
INV5385142,P877332,Brand_5,145,Bangalore FC,,In Stock
INV2805809,P306240,Brand_23,465,Delhi FC,,In Stock
INV7619146,P503093,Brand_33,432,Hyderabad FC,,In Stock
INV6710260,P619969,Brand_36,494,Delhi FC,,In Stock
