order_id,order_date,customer_id,product_id,units_sold,total_sales,payment_method,order_status
O6292755,2024-01-18,54029143,P576234,3,2248.5,UPI,Cancelled
O7223501,2024-07-30,43762302,P403284,4,2097.0,Card,Returned
O5980549,2024-09-24,38926586,P748361,1,1499.4,Wallet,Delivered
O1078492,2024-05-24,98985436,P464139,1,1039.2,UPI,Returned
O7026488,2024-06-12,38849403,P659797,1,1699.15,Card,Delivered
O6918244,2024-11-16,50146556,P679450,2,1299.0,UPI,Cancelled
O8117845,2024-12-15,79956691,P583872,4,2998.0,COD,Delivered
O8804692,2024-08-21,48520813,P732515,4,7596.2,Card,Delivered
O4484989,2024-03-27,77271643,P871237,4,5396.4,COD,Delivered
O8247918,2024-05-30,82025882,P871201,4,998.0,Card,Returned
O5852725,2024-06-22,41455194,P657905,3,6372.45,Card,Returned
O4223358,2024-05-25,86234863,P207748,1,1104.15,COD,Delivered
O3053388,2024-01-30,83575180,P195466,2,4248.3,Card,Cancelled
O8923898,2024-05-23,61165878,P544938,4,2397.6,Wallet,Delivered
O7108668,2024-03-24,38676238,P451519,2,4748.1,Wallet,Returned
O1050660,2024-07-19,62405064,P396832,4,5396.4,UPI,Delivered
O5852849,2024-04-05,70997882,P906755,3,1422.15,Wallet,Returned
O9669239,2024-07-11,56290024,P689517,1,649.5,COD,Delivered
O5711871,2024-11-23,75897792,P448529,4,6796.6,Card,Delivered
O8213180,2024-07-31,92448675,P607219,1,249.5,UPI,Returned
O1344200,2024-04-08,84068730,P157822,1,419.4,UPI,Returned
O7273532,2024-11-05,34668787,P209340,2,2499.0,UPI,Cancelled
O8112121,2024-11-28,96441173,P792992,3,2847.15,COD,Returned
O2914001,2024-10-27,16654691,P691391,2,1798.2,Card,Cancelled
O9518595,2024-02-17,11765760,P882502,4,7196.4,UPI,Delivered
O2366427,2024-09-11,30956141,P571994,4,4936.2,Card,Cancelled
O1657143,2024-04-21,11644191,P301402,1,349.5,Wallet,Cancelled
O7770114,2024-07-20,30239187,P538519,4,4156.8,UPI,Returned
O7798169,2024-05-24,52078558,P024437,3,4272.15,UPI,Delivered
O6333546,2024-05-28,63224706,P927185,2,2848.1,UPI,Cancelled
O3440273,2024-04-13,70837764,P172037,1,1234.05,Card,Cancelled
O9621404,2024-02-11,32793129,P899792,3,3312.45,UPI,Cancelled
O2066766,2024-02-18,70550854,P941517,2,1698.3,Wallet,Cancelled
O6640315,2024-05-27,38046828,P225129,2,1898.1,Wallet,Delivered
O2349927,2024-05-17,80134282,P011559,2,1048.5,UPI,Cancelled
O3944006,2024-11-15,94888889,P518471,4,5096.6,Card,Returned
O5435607,2024-02-26,66336848,P812096,2,4248.3,UPI,Cancelled
O7451866,2024-07-03,85052671,P235072,2,2208.3,Card,Delivered
O6388029,2024-08-04,48571040,P538610,4,6997.2,UPI,Cancelled
O3446317,2024-05-15,15585934,P389586,3,4197.9,Wallet,Delivered
O4806721,2024-03-14,64647039,P314111,3,898.2,UPI,Delivered
O4587499,2024-08-04,43667815,P745167,2,1188.3,COD,Cancelled
O1961941,2024-03-10,59811576,P414997,3,2847.15,COD,Returned
O8330303,2024-05-02,62370575,P831066,4,3998.0,Wallet,Returned
O6847009,2024-11-13,80864949,P875811,1,419.4,Wallet,Cancelled
O5862023,2024-03-02,89310207,P903281,1,1599.2,UPI,Delivered
O8796834,2024-04-10,48000449,P471050,4,2998.0,UPI,Cancelled
O5640505,2024-04-02,99087496,P876813,4,2998.0,UPI,Returned
O2868861,2024-03-09,22302424,P587590,2,3748.5,COD,Cancelled
O2063813,2024-08-02,10796515,P631716,2,2798.6,Wallet,Cancelled
O4871326,2024-11-14,86707715,P394964,4,1397.2,Wallet,Delivered
O8809273,2024-10-15,26033533,P806696,1,1499.4,UPI,Delivered
O4403464,2024-01-11,37451209,P752047,1,649.5,COD,Returned
O7768872,2024-03-01,40591473,P647488,1,1124.25,Card,Delivered
O2102164,2024-08-08,13538512,P709573,1,1039.2,Wallet,Cancelled
O1519682,2024-12-09,74551088,P937597,4,1796.4,Card,Cancelled
O7245156,2024-06-13,74922038,P733093,4,3998.0,COD,Cancelled
O3551826,2024-11-05,97280797,P565151,3,2698.2,Card,Returned
O3882112,2024-11-04,44381363,P361677,3,1048.5,Card,Returned
O9656673,2024-09-27,29315292,P118674,1,1499.4,Wallet,Delivered
O6844505,2024-09-05,30815556,P585834,4,3117.6,COD,Returned
O5038820,2024-07-26,45568912,P612948,1,374.25,Wallet,Returned
O4031447,2024-04-26,98313971,P951131,2,2548.3,Wallet,Delivered
O7346766,2024-11-03,47690325,P119360,2,1048.5,Card,Cancelled
O4620858,2024-03-14,91619095,P364044,1,559.2,COD,Cancelled
O2491671,2024-01-05,46913494,P392737,2,838.8,Wallet,Cancelled
O6263337,2024-08-08,91111355,P388993,4,7596.2,COD,Delivered
O7275321,2024-08-24,76164495,P781019,2,848.3,Card,Returned
O3166711,2024-09-03,29566162,P637158,3,1498.5,Card,Returned
O6707968,2024-11-28,63525511,P563191,3,1047.9,Card,Delivered
O5454115,2024-05-24,54837095,P732515,3,5697.15,COD,Delivered
O4316122,2024-08-07,39591181,P641011,3,2998.5,UPI,Delivered
O9522990,2024-02-01,90772707,P122562,2,2208.3,Card,Returned
O2957952,2024-11-04,83867153,P871201,3,748.5,Card,Delivered
O4874279,2024-07-30,73180406,P027957,3,2547.45,UPI,Cancelled
O8857611,2024-11-11,35480455,P128201,3,6372.45,COD,Cancelled
O9674372,2024-01-05,96723148,P662284,2,1499.0,COD,Cancelled
O1236708,2024-03-13,86016180,P244297,1,1199.4,COD,Returned
O7746918,2024-09-25,42345362,P745900,4,1896.2,Card,Delivered
O2639348,2024-08-23,47809377,P593657,4,5997.6,Card,Returned
O1903387,2024-11-14,63904520,P152646,3,2727.9,Card,Cancelled
O3781538,2025-01-30,41047723,P171545,4,6796.6,COD,Delivered
O8791354,2024-11-28,50971731,P879229,4,2797.2,COD,Delivered
O1051004,2024-02-18,49676549,P969733,2,1048.5,UPI,Cancelled
O9552095,2024-01-02,67371701,P776572,1,399.2,UPI,Returned
O5831414,2024-02-22,86401061,P390872,2,698.6,Card,Returned
O8990838,2024-06-26,59076697,P924273,2,499.0,Wallet,Returned
O5290469,2024-10-24,33363431,P838516,4,9496.2,Card,Delivered
O3713094,2024-08-01,41388548,P939629,2,698.6,Card,Cancelled
O2428190,2024-12-21,51445353,P408704,2,4248.3,COD,Delivered
O9744012,2024-09-26,45590163,P730486,3,6747.3,Card,Returned
O5112971,2024-02-08,93073710,P992854,4,7596.2,COD,Returned
O2006946,2024-11-08,96889106,P520907,3,2547.45,UPI,Cancelled
O3676018,2025-01-14,30416009,P001822,2,3498.6,UPI,Delivered
O3464508,2024-04-13,63326297,P134681,4,1596.8,Wallet,Cancelled
O7628299,2025-02-01,84254950,P491605,2,2248.5,Wallet,Delivered
O2597659,2024-05-14,23668617,P408552,1,349.5,COD,Delivered
O6482150,2024-02-28,45640546,P925061,2,598.8,COD,Delivered
O5640321,2024-02-01,45569920,P469676,3,2547.45,COD,Returned
O4847432,2024-05-12,22510363,P861189,2,2499.0,UPI,Cancelled
O9974502,2024-06-04,90169707,P542727,1,849.15,Wallet,Delivered
O8815370,2024-02-13,86913829,P430721,2,1398.6,UPI,Cancelled
O1183504,2024-01-24,49281383,P601869,4,4676.4,COD,Delivered
O3433728,2024-04-26,96072395,P241648,4,4676.4,Card,Returned
O9251870,2024-08-03,83108312,P450797,1,1169.1,UPI,Returned
O3804867,2024-02-20,23027068,P688153,2,1258.2,Card,Returned
O7964070,2024-10-09,29611781,P036854,1,664.05,Wallet,Returned
O1687529,2024-08-06,81706458,P080991,2,2998.8,Card,Delivered
O8142702,2024-05-08,21680365,P402380,2,3798.1,Card,Delivered
O5501487,2025-01-04,62419123,P296801,3,6747.3,UPI,Returned
O2619590,2024-11-18,85501210,P568270,3,1258.2,Wallet,Returned
O9594219,2024-01-03,14987147,P877651,1,799.2,UPI,Returned
O4728357,2024-08-03,82850293,P169083,2,1499.0,Wallet,Cancelled
O8359853,2025-01-26,44538269,P029555,1,449.1,Card,Returned
O9201140,2024-06-14,87693358,P995253,1,1499.25,Wallet,Returned
O6541130,2024-04-29,17789453,P394195,2,2499.0,UPI,Cancelled
O6289440,2024-05-16,84932978,P339837,3,1677.6,Wallet,Cancelled
O5682209,2024-03-09,54604288,P423409,3,2247.75,Wallet,Cancelled
O4435458,2024-01-23,67393509,P812658,2,3398.3,UPI,Cancelled
O6168950,2024-05-07,56321537,P960235,3,1122.75,Card,Returned
O1831010,2024-09-19,33681749,P438284,3,1887.3,UPI,Returned
O7235380,2024-04-08,49291202,P020650,2,4748.1,UPI,Returned
O2016420,2024-09-13,23635158,P336048,2,3498.6,Card,Cancelled
O5234640,2024-09-24,67498936,P353793,2,2998.8,Wallet,Delivered
O6530545,2024-02-17,29506294,P625475,4,3396.6,Wallet,Cancelled
O5889772,2024-06-12,63333678,P072822,4,4796.8,Wallet,Cancelled
O6492038,2024-04-26,47089874,P052861,4,2397.6,Card,Returned
O7939881,2024-09-17,60952556,P758480,4,2598.0,COD,Returned
O8342440,2024-05-02,76991920,P296723,2,3498.6,Card,Cancelled
O8915055,2025-01-27,26608156,P374619,1,974.25,UPI,Returned
O5365377,2024-07-24,16784739,P708313,2,999.0,UPI,Returned
O4282646,2024-01-02,86001767,P422596,4,1497.0,Wallet,Returned
O8501068,2024-06-04,80838158,P378712,2,3998.4,Card,Delivered
O2757887,2024-10-25,12527340,P395557,3,1992.15,COD,Delivered
O6678329,2024-11-29,89496775,P945140,2,1999.0,COD,Delivered
O6479349,2024-04-30,88038728,P239463,4,1497.0,COD,Cancelled
O5454295,2024-08-21,82700487,P592928,3,5997.6,Wallet,Cancelled
O4551693,2024-07-15,28326082,P546918,1,374.25,Wallet,Delivered
O7014488,2024-01-13,96033314,P571994,2,2468.1,Card,Returned
O8186828,2024-10-05,10204920,P162647,3,1992.15,UPI,Cancelled
O1238040,2024-10-14,10107195,P730109,1,899.4,Wallet,Cancelled
O8134786,2025-02-02,86409722,P599797,3,4797.6,Card,Delivered
O3729244,2024-06-24,67069100,P657335,2,2548.3,Wallet,Delivered
O4034542,2024-01-30,76733069,P031937,1,699.3,COD,Cancelled
O2699392,2024-01-09,75288494,P730488,1,249.5,Wallet,Cancelled
O7377179,2024-04-21,33007468,P150054,4,7196.4,UPI,Returned
O7937051,2024-06-02,50429650,P222026,4,998.0,Card,Cancelled
O7781910,2024-10-16,45125327,P575527,3,4498.2,COD,Cancelled
O5248054,2024-03-13,60441561,P569815,3,1798.2,UPI,Cancelled
O7610042,2024-09-18,50774029,P011431,1,1124.25,UPI,Cancelled
O6483461,2025-01-06,50985580,P207339,4,1398.0,Wallet,Cancelled
O7934005,2024-11-28,61184873,P660065,2,1598.4,Card,Returned
O2439411,2024-04-16,85632464,P660065,4,3196.8,Card,Delivered
O4097090,2024-04-04,33151512,P690947,4,5997.6,UPI,Delivered
O8773498,2024-02-16,88763416,P812728,1,1199.4,COD,Returned
O1949644,2024-09-13,11765760,P206229,3,1992.15,UPI,Delivered
O3869469,2024-07-12,16682973,P108833,3,2922.75,COD,Delivered
O3496831,2024-08-28,94896074,P309957,1,1999.2,Card,Returned
O3170710,2024-06-17,37060151,P184755,4,5396.4,Wallet,Cancelled
O3315056,2024-03-26,81614011,P405844,3,3507.3,UPI,Delivered
O5606284,2024-04-19,70264898,P250724,1,1199.4,Wallet,Cancelled
O3954171,2024-01-02,46257039,P830184,3,2247.75,COD,Delivered
O5871234,2024-10-27,35323770,P798949,2,978.6,COD,Cancelled
O7933382,2024-07-11,10826007,P242913,3,3702.15,UPI,Cancelled
O5080272,2024-02-22,53079865,P015586,3,2097.9,Card,Cancelled
O9115660,2024-07-21,86500280,P644770,3,2847.15,UPI,Delivered
O3775094,2024-04-08,21132237,P653634,2,1498.5,Wallet,Delivered
O5016327,2024-06-10,15038297,P686492,3,5097.45,COD,Returned
O6034399,2025-01-07,96535475,P953755,2,2998.5,Wallet,Delivered
O9202216,2024-07-21,47141870,P592010,4,4936.2,Wallet,Returned
O1648837,2024-03-05,62974318,P664802,4,5396.4,COD,Delivered
O7348543,2024-08-13,53801550,P334855,2,499.0,Card,Delivered
O4515616,2024-07-11,68076957,P447296,3,4498.2,UPI,Returned
O6875477,2024-09-21,80345937,P293902,4,7196.4,Wallet,Returned
O7816620,2024-11-26,24228061,P628307,4,2656.2,Wallet,Returned
O2935441,2024-08-12,85468662,P523806,3,3507.3,Wallet,Cancelled
O4789876,2024-02-24,67263334,P733093,1,999.5,Card,Delivered
O9650928,2024-01-16,93841885,P719333,2,798.4,Card,Cancelled
O7512049,2024-04-16,95046985,P660308,4,1197.6,Wallet,Delivered
O9725147,2025-01-08,81382884,P244196,1,419.4,Wallet,Returned
O3345760,2024-01-08,81358581,P485153,4,2997.0,Wallet,Delivered
O8241163,2024-03-22,80524821,P881113,1,664.05,Card,Delivered
O1570918,2024-05-18,18610297,P256710,3,2248.5,COD,Returned
O9247489,2024-12-24,62232077,P057474,1,649.5,Wallet,Cancelled
O3633924,2025-01-14,17901238,P894406,2,848.3,Card,Returned
O8317745,2024-11-16,11032306,P475687,4,4998.0,COD,Returned
O5925194,2024-07-10,86567552,P767641,2,3498.6,Wallet,Returned
O5989128,2024-01-17,22707590,P960167,1,2374.05,UPI,Delivered
O2855319,2024-06-13,10339497,P305243,1,1039.2,Wallet,Delivered
O6336102,2024-08-29,29935184,P320408,3,6372.45,UPI,Cancelled
O6867998,2024-07-05,45584046,P374181,1,909.3,COD,Cancelled
O7344819,2024-02-25,28184513,P249642,1,1499.25,UPI,Returned
O5511436,2024-10-01,44678662,P882502,2,3598.2,Card,Delivered
O7554782,2024-08-31,76360854,P378571,1,499.5,UPI,Cancelled
O2622863,2024-09-08,52655503,P807506,2,2548.3,COD,Cancelled
O7150767,2024-05-14,39538684,P867023,1,664.05,Card,Returned
O7018357,2024-01-09,37060151,P694508,2,2468.1,COD,Cancelled
O6248850,2024-01-07,66371773,P687903,4,5096.6,Card,Returned
O3383859,2024-06-16,45569920,P295242,2,898.2,COD,Delivered
O1408337,2024-02-26,57977359,P432560,2,1328.1,COD,Cancelled
O9138326,2024-08-02,97870694,P377702,4,7196.4,COD,Returned
O2654307,2025-01-02,69289552,P066128,1,249.5,Card,Delivered
O3679099,2024-03-01,26277765,P343451,3,3822.45,Wallet,Cancelled
O6548314,2024-06-24,39923198,P982841,1,299.4,Card,Cancelled
O5115913,2024-09-02,40164176,P135373,1,1234.05,UPI,Cancelled
O2004222,2024-05-18,27665772,P421660,4,5597.2,COD,Delivered
O7626364,2024-03-06,50573194,P961073,4,4998.0,Wallet,Delivered
O8234300,2024-06-20,93765765,P563959,3,3147.9,UPI,Cancelled
O7456870,2024-07-13,48929533,P503391,3,3312.45,Wallet,Returned
O1977730,2024-05-24,73992433,P830483,2,898.2,UPI,Returned
O2611484,2024-09-21,63710838,P442225,3,3702.15,UPI,Delivered
O3578626,2024-09-11,40117088,P562593,4,4936.2,UPI,Cancelled
O7456646,2024-12-09,51453617,P085360,2,3798.1,Wallet,Cancelled
O6397268,2024-02-09,33332211,P519104,2,1898.1,Card,Returned
O2412541,2024-07-27,50135368,P293984,2,698.6,COD,Cancelled
O9265101,2024-02-13,92075314,P464590,2,3498.6,UPI,Delivered
O2792522,2024-06-04,59352238,P418953,2,2548.3,UPI,Delivered
O1252737,2024-02-27,59183993,P689356,1,1039.2,Card,Returned
O4802086,2024-09-29,85784831,P937908,3,2727.9,Card,Returned
O4519076,2024-12-26,41685124,P949253,2,1498.5,UPI,Returned
O5248884,2024-02-21,33938564,P654690,1,649.5,UPI,Returned
O7377845,2024-01-08,25786056,P170703,3,1948.5,Wallet,Cancelled
O4116920,2024-06-01,17327039,P826383,3,2397.6,Card,Delivered
O5320133,2024-06-04,50774029,P637397,2,1558.8,COD,Delivered
O2905643,2024-10-09,84164860,P432431,4,3796.2,Card,Delivered
O9464220,2024-06-15,98241462,P822810,4,1796.4,Card,Cancelled
O3989351,2025-01-06,69342990,P828298,3,2397.6,Wallet,Delivered
O4605152,2024-03-09,36146672,P527811,2,1499.0,Card,Delivered
O9530749,2024-12-23,22989707,P023044,1,699.3,Card,Returned
O2439647,2024-06-06,58944929,P665807,1,399.2,UPI,Delivered
O7012464,2024-10-31,34594407,P950176,1,1499.4,UPI,Delivered
O8853688,2024-09-18,87732008,P969512,3,1422.15,COD,Cancelled
O8187979,2024-08-29,70997882,P456584,3,2998.5,Card,Delivered
O2074311,2024-01-11,86001992,P547848,1,424.15,Card,Cancelled
O2157639,2024-02-26,89349131,P900186,3,1122.75,Card,Delivered
O8318669,2025-01-09,51369157,P990011,3,1948.5,Wallet,Delivered
O9693088,2024-07-06,54194785,P089764,2,2998.8,Wallet,Cancelled
O2279387,2024-10-20,82209510,P652513,2,1299.0,Card,Cancelled
O7211710,2024-04-05,23354762,P810309,4,1896.2,COD,Delivered
O1265390,2024-05-10,92169990,P794822,3,1258.2,Wallet,Delivered
O1867717,2024-03-19,26981886,P856173,1,1199.4,COD,Delivered
O3942494,2024-10-02,66989559,P223135,4,5696.2,Card,Cancelled
O1742090,2024-03-14,79136515,P369340,1,1169.1,Card,Returned
O6578176,2024-06-27,20515791,P972443,3,5697.15,Wallet,Returned
O2354000,2024-07-31,79724960,P920517,4,3196.8,COD,Delivered
O2814219,2024-04-30,59270776,P586263,1,1104.15,Wallet,Returned
O1675949,2024-04-06,79891697,P009667,4,5396.4,Wallet,Returned
O8593511,2024-08-14,32545394,P778422,2,698.6,COD,Returned
O6065720,2024-07-27,42981028,P548593,2,838.8,Wallet,Delivered
O2784827,2024-02-06,18985177,P080232,2,2398.4,Wallet,Cancelled
O5824005,2024-02-22,62296242,P053766,1,899.4,COD,Delivered
O6503215,2024-04-21,30701854,P624986,2,499.0,Wallet,Returned
O5726632,2024-06-11,33142263,P286555,2,1499.0,Card,Delivered
O5685305,2024-11-03,70125350,P514192,4,5997.0,UPI,Delivered
O6963714,2024-09-11,88758168,P383060,1,1049.3,Wallet,Delivered
O2484418,2024-12-10,60053027,P947052,1,599.4,COD,Returned
O5096796,2024-12-04,71701426,P223691,1,594.15,Wallet,Delivered
O4192431,2024-09-04,47080074,P241038,3,1467.9,Card,Delivered
O4594299,2024-02-21,22937363,P156813,4,4936.2,UPI,Cancelled
O8519156,2024-09-12,47822395,P990740,3,2698.2,Wallet,Returned
O7391088,2024-09-27,17094748,P239590,2,3798.1,Card,Delivered
O2758271,2024-01-12,81647900,P232304,3,3117.6,Card,Cancelled
O6037058,2024-07-03,54910741,P182298,2,2338.2,COD,Delivered
O4408040,2024-10-06,21154064,P918590,4,2797.2,Card,Returned
O1511777,2025-02-01,12699092,P964386,4,4156.8,Wallet,Returned
O2660771,2024-01-20,11634838,P206050,1,1124.25,Wallet,Cancelled
O9580361,2024-07-24,39392202,P611865,2,2248.5,COD,Cancelled
O3400439,2024-02-15,97688582,P940363,2,1898.1,COD,Cancelled
O3089685,2024-08-13,59159625,P727096,4,2097.0,UPI,Delivered
O2272879,2025-01-31,45809744,P186590,2,978.6,COD,Delivered
O7465133,2024-03-01,10386332,P911414,1,449.1,UPI,Returned
O3160082,2024-03-28,74319750,P354441,2,4498.2,UPI,Returned
O7965709,2024-11-16,94589607,P221301,3,1677.6,Wallet,Cancelled
O3653056,2024-10-31,97703484,P912733,1,1049.3,Wallet,Cancelled
O7842506,2024-11-27,90628426,P653027,3,4272.15,COD,Delivered
O8124958,2024-01-15,80134282,P226497,2,848.3,COD,Cancelled
O3808813,2024-06-20,30552311,P051156,3,1122.75,UPI,Returned
O3920849,2024-01-06,82876962,P072518,4,1677.6,Wallet,Cancelled
O2320704,2024-02-28,55190569,P161326,1,424.15,COD,Delivered
O3573710,2024-02-16,92238827,P998335,3,2998.5,Wallet,Cancelled
O2302777,2024-04-03,87693358,P031937,1,699.3,Card,Delivered
O9253965,2024-03-28,31655331,P980163,1,949.05,Card,Delivered
O2822140,2024-06-15,17304204,P846793,4,3637.2,COD,Returned
O5385459,2024-12-17,48579685,P919725,1,799.2,UPI,Returned
O4403163,2024-05-29,32479971,P344641,3,3372.75,UPI,Cancelled
O8147390,2024-08-13,46556917,P427674,3,2097.9,COD,Cancelled
O5840666,2024-08-01,36784888,P383060,2,2098.6,COD,Returned
O8149517,2024-01-11,20230852,P976720,1,664.05,COD,Cancelled
O6204221,2024-07-01,89294340,P389760,3,4047.3,Card,Cancelled
O6915847,2024-04-11,24462983,P730872,4,4676.4,Card,Cancelled
O6721205,2024-07-31,72079389,P352198,3,2922.75,Card,Cancelled
O6367628,2024-11-24,38095164,P199176,2,2208.3,COD,Cancelled
O5885046,2024-11-16,93423029,P483440,4,3597.6,COD,Delivered
O9889467,2024-10-25,67705194,P489768,3,2922.75,Card,Returned
O2799938,2024-10-22,25023388,P399401,4,6396.8,Wallet,Delivered
O1037296,2025-01-30,26542995,P010266,4,3196.8,Card,Cancelled
O5502378,2024-03-10,85188151,P200466,4,1497.0,COD,Cancelled
O2272723,2024-02-25,84082342,P284483,3,2998.5,COD,Delivered
O5557726,2024-07-27,97105801,P288855,3,5622.75,Wallet,Returned
O1232764,2024-06-18,75563451,P690177,3,2727.9,COD,Returned
O6936389,2024-05-31,69369283,P755784,4,4156.8,Card,Delivered
O2575160,2024-03-31,91371967,P163666,1,1349.1,UPI,Returned
O6914431,2024-04-26,44125627,P682040,3,2727.9,COD,Cancelled
O5049013,2024-02-27,29901080,P029401,3,1422.15,COD,Cancelled
O4135179,2024-03-25,46334395,P597713,1,749.25,COD,Cancelled
O4382017,2024-10-03,58375461,P731934,1,1249.5,Card,Returned
O3568335,2024-10-22,37233643,P573620,1,449.1,UPI,Cancelled
O5567229,2024-05-07,84367641,P525990,2,3398.3,Wallet,Cancelled
O1893860,2024-01-06,45856741,P075890,2,598.8,Card,Returned
O2071971,2024-05-09,21406265,P018540,3,2922.75,UPI,Cancelled
O8955498,2024-06-24,63733082,P634153,3,1887.3,Card,Cancelled
O5978787,2024-06-23,92201469,P570206,2,2208.3,Card,Cancelled
O9871916,2024-12-16,78524060,P427528,3,3597.6,Card,Delivered
O5977378,2024-12-02,99847926,P014425,2,3498.6,Card,Returned
O7969681,2024-10-04,45781570,P090080,1,1199.2,Wallet,Delivered
O6622669,2024-11-23,66895766,P068621,3,1992.15,COD,Delivered
O3943439,2024-05-31,65253759,P945586,1,899.4,Card,Cancelled
O1103705,2024-05-08,49444791,P136664,1,649.5,Wallet,Returned
O1908757,2024-06-05,74559538,P118393,1,559.2,Card,Returned
O8345898,2024-01-10,80663482,P393237,1,1874.25,Wallet,Cancelled
O6099244,2024-08-08,92446003,P461055,1,1199.4,UPI,Cancelled
O9420517,2024-02-22,95987875,P044947,3,4797.6,UPI,Returned
O6285020,2024-06-28,94843926,P001311,3,1048.5,Wallet,Returned
O9662049,2024-09-22,98040240,P423238,1,299.4,Card,Delivered
O4407964,2024-02-20,78624547,P793973,1,249.5,Card,Cancelled
O3223715,2024-06-27,76181984,P302235,1,779.4,UPI,Returned
O7957166,2024-10-31,21798831,P781726,3,4498.2,UPI,Delivered
O8111023,2024-05-04,26449026,P719189,4,3998.0,Card,Delivered
O8052341,2024-01-21,35575721,P146338,4,1998.0,Card,Delivered
O3233745,2024-05-07,65773762,P110032,4,4936.2,Card,Returned
O4586284,2024-09-06,43828856,P690177,1,909.3,Card,Delivered
O9292677,2024-06-27,50549689,P255837,2,3598.2,UPI,Returned
O5826238,2024-11-27,18860974,P651325,4,7196.4,Wallet,Delivered
O7653262,2025-01-22,57829998,P022721,3,1347.3,COD,Returned
O2694094,2024-11-16,40142367,P705739,2,848.3,Card,Cancelled
O7289601,2024-04-15,67794532,P630730,1,1199.2,Wallet,Returned
O1898369,2024-12-06,24613141,P368324,4,1998.0,COD,Cancelled
O5330476,2024-09-01,53075314,P976725,2,4498.2,Card,Cancelled
O2032144,2024-01-11,42737730,P750601,3,4498.2,COD,Cancelled
O6877963,2024-08-11,22839291,P703828,2,4748.1,UPI,Cancelled
O5856586,2024-12-17,42345362,P253997,1,374.25,UPI,Returned
O7989240,2024-08-12,50629825,P827889,3,1422.15,UPI,Delivered
O7405170,2024-08-08,88052802,P820125,3,1258.2,Wallet,Cancelled
O1714987,2024-08-31,70906619,P442481,2,1598.4,Wallet,Returned
O9870846,2024-08-22,69317359,P027146,2,4498.2,UPI,Cancelled
O6111704,2024-04-12,23813731,P059819,1,399.2,Wallet,Delivered
O9574556,2024-12-14,84704427,P078106,3,2698.2,Card,Delivered
O1792598,2024-12-03,72906909,P213458,3,2698.2,UPI,Returned
O2570981,2024-12-27,37598904,P744445,4,1596.8,Card,Cancelled
O5581627,2024-12-08,94786518,P310929,1,779.4,Wallet,Cancelled
O6009220,2024-12-30,61256341,P915922,4,5597.2,Wallet,Cancelled
O7625618,2024-01-20,99416773,P691638,1,2124.15,COD,Returned
O6414334,2024-12-09,86612976,P612967,4,2516.4,UPI,Cancelled
O9185097,2024-06-06,56863961,P038442,3,1798.2,Wallet,Returned
O1129329,2024-03-17,30850240,P953183,1,649.5,COD,Returned
