return_id,order_id,product_id,return_date,return_reason,refund_amount,refund_status
R5343202,O7689422,P454871,2024-02-25,Color mismatch,327.2,Pending
R6967834,O5911050,P906007,2024-10-01,Quality issue,208.6,Completed
R3868257,O5295655,P024328,2024-08-04,Quality issue,1194.17,Pending
R4901213,O8256244,P516803,2024-02-08,Size issue,306.45,Completed
R3085444,O3118324,P227289,2024-03-13,Not as described,3581.97,Completed
R7833661,O7632303,P232196,2025-01-17,Damaged item,2524.22,Pending
R9897088,O3094060,P209432,2024-08-05,Quality issue,509.31,Completed
R8414764,O1115509,P017047,2024-10-30,Color mismatch,1320.95,Pending
R6790557,O4529382,P834472,2024-09-19,Size issue,1389.69,Pending
R5151435,O1525765,P534655,2024-01-16,Color mismatch,2961.02,Pending
R5743722,O9830651,P202871,2024-03-16,Damaged item,2670.07,Completed
R5232527,O4752474,P166499,2024-08-29,Late delivery,2500.67,Completed
R1770878,O5082611,P414732,2024-10-31,Color mismatch,3575.74,Pending
R5639808,O7495480,P841038,2024-12-12,Size issue,225.62,Pending
R9288941,O7012464,P950176,2024-11-06,Color mismatch,1195.87,Pending
R8285413,O4524473,P925115,2024-09-22,Damaged item,880.94,Pending
R8165296,O5337068,P398932,2024-06-11,Quality issue,1679.79,Pending
R1715529,O4987935,P523395,2024-03-04,Color mismatch,3172.56,Completed
R4549651,O3823597,P043140,2025-01-10,Quality issue,507.88,Completed
R5850736,O7843186,P114909,2024-07-08,Quality issue,520.29,Completed
R4001685,O2905643,P432431,2024-10-10,Color mismatch,2980.65,Pending
R5908785,O9923391,P554457,2024-05-23,Size issue,2007.63,Pending
R1675291,O6303135,P426782,2024-07-29,Quality issue,1687.45,Completed
R8434888,O1444918,P901547,2024-07-20,Size issue,614.19,Completed
R5305704,O4374564,P756769,2024-04-08,Quality issue,456.38,Pending
R4120832,O5242835,P843278,2024-08-09,Quality issue,253.16,Completed
R1178617,O4435705,P065367,2024-03-31,Quality issue,339.02,Completed
R1724778,O5978787,P570206,2024-06-24,Not as described,1171.49,Completed
R2823749,O1903546,P962833,2024-09-20,Not as described,323.71,Pending
R8865938,O1590823,P717673,2024-01-08,Damaged item,440.25,Pending
R2840215,O8223787,P790753,2024-01-28,Size issue,4475.74,Pending
R1104190,O9858091,P908468,2025-01-20,Color mismatch,952.14,Pending
R1664476,O7921774,P836497,2024-06-08,Size issue,1490.56,Completed
R2574464,O7873887,P588545,2024-12-16,Damaged item,1135.31,Completed
R4125853,O2164531,P493129,2025-01-10,Damaged item,2797.26,Completed
R3258410,O2952193,P378712,2024-02-28,Size issue,3110.18,Completed
R8363522,O6746984,P776873,2024-12-09,Not as described,1745.01,Pending
R9827163,O9126908,P240561,2024-08-23,Size issue,832.05,Completed
R6155465,O2648086,P336048,2024-02-29,Quality issue,4657.99,Pending
R6875472,O3968148,P821590,2024-11-02,Damaged item,2534.01,Completed
R6288400,O9280167,P389101,2024-11-26,Quality issue,2888.76,Pending
R8805053,O5254542,P320400,2024-02-22,Color mismatch,286.94,Completed
R8162337,O3857885,P066413,2024-07-16,Quality issue,1278.19,Pending
R7673358,O7167118,P334436,2024-04-08,Size issue,3666.62,Pending
R8022265,O4751214,P162647,2024-07-23,Size issue,1478.89,Completed
R9058421,O7215685,P569833,2024-02-13,Size issue,2188.26,Pending
R6858379,O9594219,P877651,2024-01-11,Color mismatch,673.44,Pending
R2750386,O1593974,P896145,2024-11-24,Late delivery,872.47,Pending
R5861587,O4506244,P947962,2024-01-19,Quality issue,6105.97,Completed
R7068184,O8536960,P839173,2024-07-28,Size issue,2793.73,Completed
R6000237,O4207620,P316985,2024-07-12,Not as described,2993.67,Pending
R5866469,O6473835,P304554,2024-04-05,Damaged item,2336.97,Completed
R5221809,O7256938,P207748,2024-10-28,Damaged item,1350.02,Completed
R2780492,O9589285,P139343,2024-07-25,Size issue,1959.26,Pending
R4500374,O1539299,P318935,2025-01-08,Quality issue,1574.33,Completed
R1754392,O8323971,P592069,2024-04-11,Not as described,937.23,Completed
R7073676,O1047974,P914619,2024-09-17,Late delivery,1236.14,Completed
R2002282,O6653250,P837901,2024-02-06,Size issue,1310.31,Pending
R5441521,O5097746,P827822,2025-02-04,Late delivery,1411.11,Completed
R9762360,O6392806,P498500,2024-03-11,Size issue,467.62,Pending
R1956513,O6692300,P302731,2024-12-19,Size issue,1243.84,Pending
R5190194,O3786905,P141695,2024-06-10,Damaged item,3393.08,Completed
R2356139,O1608793,P137283,2024-07-03,Color mismatch,1035.53,Completed
R9776833,O4578530,P595770,2024-11-29,Quality issue,1610.94,Pending
R8028150,O2780749,P278648,2025-02-12,Size issue,2931.66,Completed
R2249412,O3462544,P023864,2025-01-29,Not as described,2918.72,Pending
R4136103,O6485162,P049764,2024-05-26,Color mismatch,2096.12,Pending
R7666413,O9632257,P773965,2024-12-12,Color mismatch,1826.76,Pending
R6552621,O9987666,P340974,2025-01-01,Quality issue,1121.2,Pending
R3197494,O8473729,P191142,2024-05-13,Not as described,901.5,Pending
R7405984,O7435181,P868196,2024-12-20,Not as described,407.66,Completed
R9998018,O8992089,P809842,2024-07-02,Damaged item,1720.92,Completed
R9611665,O8743137,P106178,2025-02-06,Not as described,748.69,Completed
R4165232,O9401017,P981284,2024-09-23,Quality issue,1369.68,Pending
R6605089,O5078475,P485856,2024-04-21,Damaged item,1877.91,Completed
R5806260,O9261769,P105880,2024-11-06,Late delivery,3059.67,Completed
R9457008,O2671642,P569187,2024-11-15,Color mismatch,2043.45,Completed
R2828273,O5898805,P524540,2024-12-13,Quality issue,4038.36,Completed
R7392986,O3534429,P319839,2025-01-17,Quality issue,2606.87,Completed
R2651046,O7884039,P141695,2024-01-13,Quality issue,2219.07,Completed
R5746644,O4460927,P117922,2024-08-10,Not as described,3162.09,Pending
R7417118,O5790954,P852568,2024-06-15,Size issue,3525.48,Pending
R5327028,O6305815,P896238,2024-01-14,Late delivery,335.56,Completed
R9119012,O3928551,P492716,2025-02-10,Late delivery,964.67,Completed
R2421108,O6086472,P457095,2025-01-02,Color mismatch,331.35,Completed
R5618097,O4082217,P998988,2024-11-14,Color mismatch,1727.86,Completed
R5561400,O3355310,P780103,2024-05-30,Size issue,3298.11,Completed
R5475193,O5565348,P499262,2024-03-27,Quality issue,1808.55,Completed
R5442237,O9349706,P951604,2024-11-21,Quality issue,2120.47,Completed
R3522715,O5479398,P597713,2024-11-30,Quality issue,1966.61,Completed
R7661406,O5218587,P418140,2024-03-27,Color mismatch,1328.57,Pending
R1017555,O6461944,P473499,2024-09-24,Not as described,805.14,Pending
R7412438,O3653056,P912733,2024-11-06,Late delivery,941.58,Completed
R6932714,O4233837,P853457,2024-11-29,Damaged item,938.42,Pending
R9126463,O4534252,P563505,2024-01-19,Damaged item,2883.04,Completed
R5257318,O4966457,P155673,2024-05-05,Size issue,1204.27,Pending
R1967731,O6035824,P001622,2024-06-04,Size issue,864.77,Pending
R5084222,O9263891,P979990,2024-10-20,Color mismatch,1177.04,Pending
R2319855,O9821867,P066128,2024-07-02,Not as described,315.7,Pending
R1315274,O5671663,P789805,2024-08-10,Quality issue,3842.02,Completed
R2308377,O2109058,P892386,2024-05-20,Damaged item,1802.61,Completed
R5642876,O4514945,P783925,2024-12-14,Size issue,5803.56,Pending
R3135012,O1495001,P015054,2024-12-31,Damaged item,129.85,Completed
R7029492,O9405069,P881958,2024-04-14,Quality issue,1307.73,Pending
R2036234,O7514533,P025581,2024-12-17,Damaged item,6680.69,Pending
R1590969,O6396606,P768151,2024-03-13,Color mismatch,2178.42,Pending
R6840628,O8382669,P470504,2024-03-18,Damaged item,1973.49,Pending
R7728810,O3765996,P802944,2024-05-26,Size issue,532.02,Pending
R4171221,O9087291,P483233,2025-01-22,Late delivery,729.29,Completed
R5590939,O6035943,P271020,2025-01-22,Color mismatch,1014.02,Pending
R4502503,O2778665,P665675,2024-10-08,Damaged item,606.15,Pending
R1836299,O5831365,P085445,2024-06-23,Quality issue,622.8,Completed
R2525758,O7657909,P990931,2024-01-19,Damaged item,6242.52,Pending
R1102552,O3713131,P582034,2025-01-14,Size issue,370.47,Completed
R2740045,O3515257,P502745,2024-08-25,Color mismatch,301.89,Pending
R9534406,O7357320,P487369,2024-10-29,Size issue,983.14,Completed
R4846865,O6647195,P177752,2024-03-16,Late delivery,2669.53,Completed
R4846977,O9301330,P699020,2024-06-29,Size issue,227.58,Pending
R4838964,O2413414,P230405,2024-03-18,Not as described,3108.87,Pending
R8131895,O5731834,P871714,2024-08-01,Size issue,2374.08,Pending
R5825124,O1498059,P055559,2024-05-02,Color mismatch,2443.97,Pending
R1288827,O7359142,P146439,2024-12-12,Damaged item,2077.97,Completed
R6289627,O5683109,P029823,2024-01-10,Quality issue,1745.02,Pending
R4562518,O4072073,P780614,2024-10-01,Not as described,1307.45,Pending
R5690869,O9976004,P955893,2024-11-07,Quality issue,2512.04,Pending
R5867417,O6467242,P207183,2024-01-20,Not as described,1846.57,Pending
R8822640,O4519731,P356067,2025-02-15,Not as described,1565.6,Pending
R2618080,O1567256,P008757,2024-10-20,Quality issue,1317.81,Pending
R3873812,O3458206,P331668,2024-09-30,Damaged item,1571.65,Pending
R2895055,O3800662,P073887,2024-07-09,Damaged item,1844.45,Completed
R1353301,O5559577,P399535,2024-10-15,Color mismatch,408.0,Pending
R6757050,O7100775,P609682,2024-03-13,Damaged item,579.96,Completed
R3406755,O2125200,P325496,2024-02-14,Late delivery,2674.38,Pending
R6298822,O2757640,P715772,2025-01-07,Not as described,2269.07,Pending
R4361044,O3317039,P132569,2024-10-30,Late delivery,2199.84,Completed
R5410158,O8090370,P013324,2024-05-08,Damaged item,1952.18,Completed
R3789903,O4697058,P751162,2024-06-23,Size issue,524.91,Completed
R8858268,O9945191,P747890,2024-11-21,Color mismatch,2614.32,Completed
R5513784,O8665863,P142821,2024-06-18,Size issue,4441.97,Pending
R3162254,O5622033,P418736,2024-03-06,Not as described,2093.22,Pending
R9794045,O1667204,P548659,2024-04-02,Color mismatch,898.74,Completed
R3812687,O1626802,P168290,2024-02-04,Damaged item,1578.9,Completed
R7813866,O7516278,P956230,2025-02-05,Not as described,902.03,Pending
R4225160,O5311280,P716376,2025-01-18,Size issue,1984.83,Completed
R5148239,O1989741,P770384,2024-12-27,Quality issue,2199.46,Pending
R4521402,O9240567,P715490,2024-12-08,Size issue,441.03,Completed
R1435774,O3587418,P155984,2024-03-15,Late delivery,3750.72,Pending
R3029236,O6162489,P600411,2024-09-12,Not as described,961.97,Pending
R7796599,O7816620,P628307,2024-11-29,Quality issue,2634.97,Completed
R6104938,O5135060,P549010,2024-06-14,Not as described,3094.9,Completed
R7905916,O4074429,P372952,2024-06-20,Damaged item,4198.78,Completed
R9116243,O9461274,P429539,2024-01-24,Late delivery,4625.41,Pending
R8907746,O6705154,P934410,2024-09-29,Color mismatch,552.72,Pending
R8873579,O5091366,P773693,2024-04-24,Color mismatch,2607.46,Completed
R8197653,O5581627,P310929,2024-12-16,Not as described,741.04,Pending
R6464786,O8238799,P614547,2025-02-07,Quality issue,4426.75,Completed
R8125216,O4910058,P459196,2024-05-18,Damaged item,5226.22,Completed
R7239874,O3246078,P613754,2024-06-19,Size issue,2806.88,Completed
R4777397,O3536328,P489057,2024-08-17,Late delivery,2972.57,Pending
R9705144,O4413010,P698215,2024-11-21,Size issue,474.72,Completed
R7760318,O8022664,P239735,2024-12-03,Damaged item,3818.96,Pending
R4667862,O5004085,P855088,2024-07-09,Quality issue,318.41,Pending
R9890880,O2426945,P001646,2024-02-06,Damaged item,313.73,Completed
R2714270,O2920566,P504918,2024-10-02,Quality issue,281.72,Completed
R6362020,O1632791,P628436,2024-04-11,Late delivery,763.43,Pending
R6595376,O2649255,P924875,2024-09-02,Damaged item,348.32,Pending
R5365607,O3006747,P435144,2025-02-08,Late delivery,1097.17,Pending
R7909744,O4845632,P179580,2024-11-12,Color mismatch,2297.85,Completed
R8083647,O9884619,P068912,2024-05-07,Size issue,201.86,Completed
R2576079,O3351482,P731394,2024-05-29,Quality issue,652.03,Pending
R6060585,O9913513,P787370,2024-12-29,Color mismatch,814.77,Completed
R8350407,O3207449,P956833,2024-12-11,Not as described,2142.04,Pending
R2575978,O5698142,P892615,2024-09-29,Quality issue,2112.03,Completed
R5079793,O9638612,P648157,2024-11-07,Size issue,666.39,Completed
R8498527,O4469755,P163945,2024-07-06,Color mismatch,2115.84,Completed
R2905018,O4173033,P681724,2024-11-05,Quality issue,994.09,Completed
R8628841,O9103182,P179074,2024-04-06,Not as described,2403.09,Completed
R9005821,O2305246,P877849,2024-04-12,Late delivery,1550.78,Pending
R6839749,O4386316,P401201,2024-08-04,Not as described,456.22,Completed
R6981082,O9628702,P550838,2024-05-18,Damaged item,1123.68,Pending
R5054577,O3073055,P563505,2024-01-26,Quality issue,1950.14,Completed
R5101298,O8163695,P277376,2024-06-29,Damaged item,1780.7,Completed
R3490909,O2180382,P625007,2024-09-13,Size issue,1554.72,Pending
R7714237,O5109182,P818220,2024-06-23,Late delivery,961.09,Completed
R5601878,O7308662,P869800,2024-11-20,Not as described,2619.22,Completed
R8815075,O4275151,P030780,2024-02-03,Damaged item,1749.39,Pending
R3311725,O4331109,P582357,2024-05-30,Size issue,294.06,Pending
R7008545,O5902662,P884342,2024-10-14,Damaged item,510.19,Completed
R1468252,O8599713,P567089,2024-04-20,Size issue,1515.24,Pending
R6964116,O8272153,P597287,2024-03-17,Damaged item,2186.35,Pending
R5318442,O2733623,P312608,2024-01-21,Late delivery,2325.12,Pending
R3303497,O4030953,P368306,2025-02-11,Size issue,1334.6,Completed
R5218071,O2232235,P529486,2024-04-13,Damaged item,2598.69,Pending
R3082446,O5670365,P017402,2024-12-04,Color mismatch,993.93,Pending
R7265020,O5667370,P695960,2024-07-19,Color mismatch,3869.8,Completed
R1385945,O3410503,P232726,2024-03-05,Color mismatch,4047.1,Completed
R5329570,O8484697,P307320,2024-08-13,Size issue,2212.74,Pending
R5493794,O9994402,P379388,2024-11-04,Size issue,2643.71,Pending
R3708573,O6082579,P838370,2024-08-27,Late delivery,2897.56,Completed
R7677587,O2046303,P968139,2024-09-06,Size issue,687.77,Pending
R6598006,O6767290,P430716,2024-08-27,Late delivery,1184.14,Completed
R1657762,O5642292,P912372,2024-08-14,Quality issue,519.5,Pending
R3509710,O4879635,P240561,2024-03-28,Late delivery,1976.67,Pending
R5528223,O3629105,P794573,2024-01-10,Late delivery,3682.77,Pending
R7082735,O2201871,P824810,2024-07-10,Color mismatch,1449.99,Completed
R8023845,O9128835,P503497,2024-11-25,Quality issue,1824.22,Pending
R3891907,O7989007,P361107,2024-03-30,Quality issue,2218.62,Completed
R6846029,O6646593,P537289,2024-03-15,Damaged item,611.71,Pending
R7598748,O3875884,P190609,2024-04-09,Not as described,1105.65,Completed
R4810805,O8217485,P879505,2024-09-17,Quality issue,2087.75,Completed
R8070966,O2671734,P262923,2024-09-12,Not as described,3263.11,Completed
R7167155,O4250296,P097050,2024-01-17,Damaged item,313.66,Pending
R8731691,O1249339,P925710,2024-03-04,Color mismatch,1201.99,Completed
R5493560,O4181218,P419770,2024-12-21,Damaged item,901.37,Completed
R9893692,O8319042,P269328,2024-08-15,Late delivery,1032.39,Pending
R7134065,O3261212,P625973,2024-08-10,Late delivery,2435.0,Pending
R4524865,O1911782,P226043,2024-01-31,Quality issue,587.52,Pending
R1874063,O5496570,P124352,2024-01-18,Size issue,3361.95,Pending
R4370394,O1129329,P953183,2024-03-20,Late delivery,525.9,Completed
R1119922,O9538707,P834640,2024-09-20,Color mismatch,684.14,Completed
R9180094,O4183881,P571821,2024-04-09,Quality issue,973.27,Pending
R6943387,O8950996,P041936,2025-02-08,Color mismatch,2370.21,Pending
R5969709,O5631111,P222106,2024-12-30,Size issue,3172.24,Completed
R2308934,O3201527,P737098,2024-08-17,Size issue,332.08,Pending
R3705575,O3016397,P607945,2024-09-20,Color mismatch,1522.68,Pending
R9184609,O7842506,P653027,2024-12-11,Late delivery,3099.04,Pending
R6473279,O6729440,P092902,2024-04-15,Not as described,1046.44,Completed
R7415699,O8123717,P874404,2024-05-12,Damaged item,669.18,Pending
R6075023,O7717994,P013651,2024-11-25,Color mismatch,3717.42,Completed
R4522927,O7640522,P438104,2024-05-19,Not as described,3321.73,Completed
R8919430,O7789103,P659173,2024-11-20,Late delivery,1155.94,Completed
R4469955,O1945367,P146841,2025-01-26,Quality issue,559.68,Pending
R6780896,O1952003,P831356,2025-02-01,Late delivery,4318.06,Completed
R5090849,O8648667,P900862,2025-01-29,Quality issue,1807.46,Pending
R6023461,O3496789,P727764,2024-03-04,Not as described,667.08,Pending
R8967269,O4021061,P248434,2024-06-08,Quality issue,915.55,Pending
R3231669,O1308465,P809136,2024-10-09,Not as described,3051.12,Pending
R5007981,O6227178,P616097,2024-04-25,Damaged item,5858.14,Completed
R8822285,O1549989,P560537,2024-12-15,Color mismatch,1818.26,Pending
R4941397,O4169716,P241371,2024-11-17,Color mismatch,640.33,Pending
R2408166,O3941914,P815665,2024-11-16,Not as described,1010.31,Completed
R4699582,O2273708,P506929,2025-01-27,Late delivery,953.51,Completed
R3957968,O4987935,P523395,2024-02-26,Not as described,3845.15,Pending
R9888186,O8334348,P383833,2024-07-12,Late delivery,5239.25,Completed
R4729083,O1592702,P270878,2024-04-18,Not as described,1476.3,Completed
R1976643,O7012024,P914640,2024-11-03,Damaged item,3785.56,Completed
R1807832,O4817465,P487827,2024-02-21,Damaged item,2975.97,Completed
R6755163,O6868447,P191354,2024-03-21,Color mismatch,500.5,Pending
R2323730,O5537558,P359239,2024-05-29,Size issue,2058.79,Pending
R3290175,O9496503,P170653,2024-04-29,Not as described,1228.35,Completed
R4977958,O2589869,P553883,2024-06-26,Size issue,5198.22,Pending
R7092112,O1495001,P015054,2024-12-27,Size issue,147.93,Completed
R6737177,O9036359,P325349,2024-05-08,Quality issue,863.34,Pending
R6345823,O4418350,P054500,2024-06-03,Not as described,3632.6,Completed
R3930435,O2187128,P395802,2024-06-30,Damaged item,3520.14,Pending
R5994125,O4993551,P309075,2024-07-02,Not as described,660.99,Completed
R9418407,O2349830,P327020,2025-01-31,Size issue,1083.82,Completed
R2692047,O3046556,P797362,2024-02-19,Not as described,1012.52,Completed
R7094670,O1892711,P038622,2024-12-12,Not as described,7434.42,Completed
R5579958,O2412541,P293984,2024-08-05,Size issue,465.11,Pending
R9292378,O7834235,P408552,2024-06-13,Late delivery,763.84,Completed
R7705008,O2671642,P569187,2024-11-12,Quality issue,2368.31,Completed
R2249369,O3297283,P250812,2024-04-20,Not as described,1343.84,Pending
R7545471,O3706366,P252066,2024-02-12,Late delivery,2716.62,Pending
R4657653,O4404179,P710474,2024-01-12,Not as described,1950.84,Pending
R9213896,O9663321,P323727,2025-01-08,Damaged item,1600.32,Completed
R5000482,O6987742,P200182,2024-09-25,Damaged item,1289.89,Completed
R4919105,O8842136,P419216,2024-07-05,Size issue,2874.28,Pending
R6064598,O2594115,P122919,2024-09-29,Late delivery,2406.23,Completed
R3420470,O7970742,P779772,2024-04-26,Size issue,448.88,Completed
R5934029,O4696974,P530502,2024-10-31,Quality issue,704.15,Pending
R5948841,O4488811,P261047,2024-07-10,Late delivery,1646.89,Completed
R3720905,O5149440,P757831,2024-09-30,Quality issue,1643.35,Completed
R8776311,O2862504,P764981,2024-04-25,Not as described,1305.98,Pending
R8045344,O7989240,P827889,2024-08-27,Damaged item,1177.59,Pending
R5043878,O5595673,P556495,2024-03-02,Not as described,2876.58,Pending
R5227958,O6412239,P949253,2024-07-29,Color mismatch,1922.92,Completed
R5438211,O4848177,P499352,2024-09-07,Color mismatch,818.02,Pending
R4070117,O9785320,P576842,2024-06-09,Size issue,1176.98,Pending
R2253050,O5243474,P668209,2024-12-27,Size issue,1418.41,Completed
R2324663,O4667911,P927890,2024-03-22,Late delivery,197.16,Pending
R6412569,O9544927,P925061,2024-12-10,Color mismatch,625.38,Completed
R1803919,O4656071,P316316,2025-01-29,Late delivery,938.31,Completed
R5926687,O5377281,P581987,2024-07-18,Size issue,615.33,Pending
R3699406,O2962944,P009416,2024-08-19,Damaged item,892.17,Completed
R5050778,O6085785,P829273,2024-03-10,Size issue,926.19,Pending
R9931125,O7807271,P499840,2024-11-19,Quality issue,1035.12,Pending
R5891776,O9091836,P358310,2024-07-20,Late delivery,2265.03,Pending
R2611814,O8760210,P155878,2024-02-14,Late delivery,392.95,Completed
R1449077,O3823597,P043140,2025-01-11,Not as described,422.86,Completed
R7905161,O2439647,P665807,2024-06-19,Late delivery,259.87,Pending
R6560820,O4117397,P146338,2024-10-05,Damaged item,589.82,Completed
R2120735,O8234073,P597537,2024-07-19,Damaged item,1168.29,Pending
R8033134,O8331032,P352477,2025-01-16,Late delivery,2074.24,Completed
R5721011,O8773498,P812728,2024-02-28,Color mismatch,833.58,Pending
R1328796,O6191464,P109438,2024-01-20,Not as described,956.52,Completed
R4962483,O5312338,P176961,2024-12-03,Not as described,1097.85,Completed
R1126886,O9015751,P439361,2024-06-07,Size issue,1039.41,Pending
R8513555,O2291826,P072095,2025-02-02,Late delivery,1421.35,Completed
R3649228,O2304698,P010266,2024-04-21,Quality issue,2345.7,Pending
R5579950,O2227816,P631171,2024-01-24,Color mismatch,1316.38,Completed
R7400609,O8539182,P690838,2024-09-12,Size issue,539.18,Pending
R2606824,O5797358,P270865,2024-11-05,Color mismatch,529.56,Completed
R2835874,O1402206,P638424,2024-10-12,Size issue,2520.86,Completed
R7372000,O5896227,P428038,2024-12-31,Quality issue,3327.36,Completed
R4173978,O4561258,P194760,2024-11-28,Not as described,508.83,Completed
R1897947,O7781910,P575527,2024-10-19,Damaged item,3095.33,Completed
R5470850,O8691763,P443742,2024-07-10,Quality issue,2007.23,Pending
