product_id,product_name,brand,category,sub_category,gender,mrp,discount_pct,selling_price
P280120,Product_9634,Brand_4,Clothing,Women's Clothing,Male,1299,40,779.4
P567540,Product_6608,Brand_37,Footwear,Women's Footwear,Girl Kid,1499,30,1049.3
P085984,Product_2018,Brand_32,Clothing,Kids' Clothing,Girl Kid,1999,50,999.5
P051231,Product_3229,Brand_29,Clothing,Kids' Clothing,Female,1999,5,1899.05
P330451,Product_5281,Brand_10,Furniture,Living Room Furniture,Male,2499,5,2374.05
P893208,Product_3887,Brand_9,Footwear,Men's Footwear,Male,699,40,419.4
P530561,Product_9900,Brand_43,Clothing,Women's Clothing,Unisex,1299,15,1104.15
P468184,Product_6871,Brand_22,Footwear,Men's Footwear,Unisex,1999,40,1199.4
P152241,Product_6226,Brand_44,Footwear,Women's Footwear,Girl Kid,699,25,524.25
P993484,Product_8936,Brand_12,Clothing,Kids' Clothing,Unisex,499,25,374.25
P841288,Product_6909,Brand_18,Footwear,Women's Footwear,Girl Kid,1499,25,1124.25
P453341,Product_1330,Brand_31,Clothing,Women's Clothing,Boy Kid,2499,30,1749.3
P016249,Product_1830,Brand_28,Footwear,Men's Footwear,Boy Kid,499,15,424.15
P148452,Product_3827,Brand_40,Clothing,Men's Clothing,Female,1299,40,779.4
P445476,Product_4801,Brand_18,Footwear,Women's Footwear,Unisex,1999,10,1799.1
P259182,Product_1682,Brand_19,Clothing,Women's Clothing,Male,999,10,899.1
P553769,Product_8492,Brand_20,Clothing,Kids' Clothing,Female,2499,10,2249.1
P307666,Product_5279,Brand_21,Footwear,Women's Footwear,Unisex,1299,10,1169.1
P763070,Product_2402,Brand_2,Pet Supplies,Grooming & Care,Male,999,15,849.15
P074340,Product_2584,Brand_3,Clothing,Kids' Clothing,Male,1999,5,1899.05
P338920,Product_3226,Brand_45,Clothing,Men's Clothing,Boy Kid,499,20,399.2
P109075,Product_8453,Brand_24,Footwear,Men's Footwear,Boy Kid,1999,50,999.5
P789598,Product_6511,Brand_13,Clothing,Women's Clothing,Boy Kid,699,10,629.1
P920852,Product_2943,Brand_34,Clothing,Kids' Clothing,Unisex,1999,15,1699.15
P029555,Product_3370,Brand_28,Pet Supplies,Grooming & Care,Girl Kid,499,10,449.1
P179917,Product_4526,Brand_22,Footwear,Women's Footwear,Female,699,5,664.05
P351909,Product_4944,Brand_38,Clothing,Men's Clothing,Male,1299,5,1234.05
P902492,Product_5301,Brand_36,Footwear,Men's Footwear,Male,699,10,629.1
P827178,Product_6849,Brand_47,Clothing,Men's Clothing,Unisex,499,20,399.2
P999768,Product_9365,Brand_12,Footwear,Women's Footwear,Girl Kid,2499,50,1249.5
P438264,Product_1455,Brand_36,Clothing,Women's Clothing,Girl Kid,2499,20,1999.2
P727960,Product_1938,Brand_11,Footwear,Men's Footwear,Male,499,30,349.3
P292392,Product_1573,Brand_17,Pet Supplies,Grooming & Care,Male,999,15,849.15
P036458,Product_8853,Brand_18,Footwear,Men's Footwear,Girl Kid,999,20,799.2
P545823,Product_4252,Brand_23,Furniture,Living Room Furniture,Unisex,499,30,349.3
P819281,Product_4805,Brand_18,Pet Supplies,Grooming & Care,Female,1499,40,899.4
P248741,Product_2366,Brand_49,Clothing,Women's Clothing,Female,2499,25,1874.25
P545018,Product_5499,Brand_15,Clothing,Men's Clothing,Unisex,699,20,559.2
P851359,Product_2488,Brand_40,Clothing,Kids' Clothing,Girl Kid,499,25,374.25
P151189,Product_2324,Brand_8,Pet Supplies,Grooming & Care,Boy Kid,499,5,474.05
P892615,Product_9193,Brand_21,Clothing,Men's Clothing,Male,1299,30,909.3
P612157,Product_5483,Brand_41,Clothing,Men's Clothing,Girl Kid,1999,15,1699.15
P281010,Product_4576,Brand_28,Pet Supplies,Grooming & Care,Girl Kid,999,50,499.5
P429579,Product_5657,Brand_22,Clothing,Women's Clothing,Unisex,1999,10,1799.1
P374935,Product_1421,Brand_46,Footwear,Men's Footwear,Girl Kid,1499,25,1124.25
P222106,Product_6223,Brand_21,Furniture,Living Room Furniture,Female,1499,10,1349.1
P842001,Product_1131,Brand_37,Footwear,Men's Footwear,Boy Kid,2499,15,2124.15
P141372,Product_3777,Brand_22,Pet Supplies,Grooming & Care,Male,999,5,949.05
P644645,Product_6497,Brand_23,Footwear,Men's Footwear,Boy Kid,1499,30,1049.3
P451677,Product_3944,Brand_8,Clothing,Kids' Clothing,Boy Kid,999,15,849.15
P188651,Product_2641,Brand_33,Clothing,Women's Clothing,Male,499,5,474.05
P575564,Product_5640,Brand_16,Pet Supplies,Grooming & Care,Girl Kid,1299,10,1169.1
P077410,Product_1916,Brand_6,Clothing,Kids' Clothing,Boy Kid,1999,50,999.5
P159293,Product_3416,Brand_9,Pet Supplies,Grooming & Care,Unisex,2499,15,2124.15
P633346,Product_9560,Brand_13,Footwear,Women's Footwear,Girl Kid,1499,50,749.5
P575282,Product_3693,Brand_9,Pet Supplies,Grooming & Care,Female,1499,10,1349.1
P497235,Product_5680,Brand_24,Furniture,Living Room Furniture,Boy Kid,1499,10,1349.1
P555030,Product_8541,Brand_28,Furniture,Living Room Furniture,Boy Kid,1499,40,899.4
P416574,Product_6740,Brand_5,Footwear,Men's Footwear,Female,2499,25,1874.25
P211071,Product_2441,Brand_1,Clothing,Women's Clothing,Unisex,2499,40,1499.4
P824505,Product_9245,Brand_49,Furniture,Living Room Furniture,Male,1499,10,1349.1
P733242,Product_2652,Brand_46,Footwear,Men's Footwear,Boy Kid,1299,50,649.5
P133888,Product_1798,Brand_44,Furniture,Living Room Furniture,Boy Kid,2499,5,2374.05
P290930,Product_7609,Brand_12,Footwear,Men's Footwear,Unisex,1299,40,779.4
P717218,Product_5028,Brand_50,Clothing,Women's Clothing,Female,1299,30,909.3
P135785,Product_4468,Brand_1,Footwear,Men's Footwear,Female,1499,20,1199.2
P943264,Product_5290,Brand_7,Furniture,Living Room Furniture,Unisex,499,15,424.15
P903574,Product_3837,Brand_46,Clothing,Men's Clothing,Boy Kid,1999,50,999.5
P279681,Product_2130,Brand_38,Footwear,Women's Footwear,Female,1999,25,1499.25
P625475,Product_5940,Brand_42,Footwear,Women's Footwear,Unisex,999,15,849.15
P241371,Product_8765,Brand_18,Footwear,Women's Footwear,Boy Kid,499,15,424.15
P856448,Product_6443,Brand_36,Clothing,Kids' Clothing,Boy Kid,1999,20,1599.2
P494942,Product_4729,Brand_38,Clothing,Men's Clothing,Female,1499,5,1424.05
P908077,Product_6710,Brand_48,Pet Supplies,Grooming & Care,Boy Kid,1299,15,1104.15
P856305,Product_9998,Brand_21,Furniture,Living Room Furniture,Unisex,999,50,499.5
P623978,Product_9944,Brand_23,Footwear,Men's Footwear,Female,1999,5,1899.05
P174737,Product_7264,Brand_27,Clothing,Kids' Clothing,Unisex,2499,25,1874.25
P200800,Product_1413,Brand_3,Pet Supplies,Grooming & Care,Male,2499,25,1874.25
P667978,Product_1123,Brand_18,Pet Supplies,Grooming & Care,Boy Kid,1299,15,1104.15
P530067,Product_5424,Brand_43,Footwear,Women's Footwear,Female,699,40,419.4
P460463,Product_1038,Brand_17,Clothing,Kids' Clothing,Male,1999,10,1799.1
P700001,Product_2771,Brand_6,Furniture,Living Room Furniture,Boy Kid,999,25,749.25
P129410,Product_3806,Brand_19,Footwear,Men's Footwear,Girl Kid,1999,5,1899.05
P462891,Product_6264,Brand_4,Footwear,Women's Footwear,Female,699,30,489.3
P836584,Product_2579,Brand_42,Furniture,Living Room Furniture,Boy Kid,1299,50,649.5
P650966,Product_1660,Brand_14,Footwear,Men's Footwear,Boy Kid,1299,50,649.5
P350773,Product_4952,Brand_12,Footwear,Men's Footwear,Male,499,30,349.3
P525688,Product_1029,Brand_14,Pet Supplies,Grooming & Care,Female,2499,20,1999.2
P739328,Product_3283,Brand_7,Furniture,Living Room Furniture,Male,999,30,699.3
P425646,Product_1291,Brand_20,Footwear,Men's Footwear,Female,2499,50,1249.5
P079096,Product_9227,Brand_42,Clothing,Men's Clothing,Unisex,999,20,799.2
P282185,Product_5466,Brand_41,Footwear,Women's Footwear,Girl Kid,699,20,559.2
P792952,Product_8107,Brand_41,Clothing,Women's Clothing,Male,1499,50,749.5
P387942,Product_9977,Brand_13,Footwear,Women's Footwear,Unisex,999,15,849.15
P126213,Product_1301,Brand_21,Clothing,Women's Clothing,Male,1499,20,1199.2
P085445,Product_8328,Brand_24,Clothing,Men's Clothing,Girl Kid,499,15,424.15
P120547,Product_8570,Brand_26,Footwear,Women's Footwear,Female,699,20,559.2
P304184,Product_4502,Brand_42,Footwear,Men's Footwear,Unisex,2499,25,1874.25
P855466,Product_2408,Brand_49,Footwear,Men's Footwear,Girl Kid,1499,15,1274.15
P684215,Product_9480,Brand_14,Footwear,Women's Footwear,Boy Kid,699,25,524.25
P593318,Product_4196,Brand_50,Clothing,Men's Clothing,Boy Kid,499,15,424.15
P650364,Product_6066,Brand_22,Clothing,Women's Clothing,Male,499,15,424.15
P004689,Product_6505,Brand_12,Footwear,Women's Footwear,Male,2499,40,1499.4
P762948,Product_4334,Brand_23,Clothing,Kids' Clothing,Female,1299,15,1104.15
P862999,Product_7926,Brand_25,Clothing,Kids' Clothing,Girl Kid,999,50,499.5
P082568,Product_4706,Brand_24,Pet Supplies,Grooming & Care,Male,1999,30,1399.3
P412241,Product_7241,Brand_22,Clothing,Men's Clothing,Girl Kid,699,15,594.15
P179683,Product_9818,Brand_39,Clothing,Kids' Clothing,Female,1499,10,1349.1
P968380,Product_1785,Brand_5,Clothing,Kids' Clothing,Boy Kid,2499,40,1499.4
P148746,Product_3259,Brand_25,Clothing,Men's Clothing,Boy Kid,499,50,249.5
P140255,Product_7841,Brand_9,Clothing,Women's Clothing,Girl Kid,499,5,474.05
P855337,Product_9027,Brand_3,Footwear,Women's Footwear,Boy Kid,1299,30,909.3
P696186,Product_9699,Brand_13,Clothing,Men's Clothing,Girl Kid,1299,20,1039.2
P314951,Product_2700,Brand_17,Clothing,Kids' Clothing,Girl Kid,2499,10,2249.1
P945623,Product_6240,Brand_4,Clothing,Women's Clothing,Boy Kid,2499,10,2249.1
P396725,Product_2344,Brand_44,Clothing,Kids' Clothing,Male,1499,20,1199.2
P158452,Product_2327,Brand_11,Furniture,Living Room Furniture,Boy Kid,699,10,629.1
P876025,Product_3194,Brand_33,Footwear,Women's Footwear,Unisex,1499,10,1349.1
P021424,Product_5101,Brand_25,Clothing,Women's Clothing,Female,699,25,524.25
P477891,Product_9397,Brand_19,Clothing,Kids' Clothing,Female,699,25,524.25
P611075,Product_7753,Brand_12,Footwear,Women's Footwear,Boy Kid,2499,5,2374.05
P873924,Product_5749,Brand_39,Footwear,Women's Footwear,Male,1499,50,749.5
P726922,Product_1151,Brand_23,Clothing,Men's Clothing,Girl Kid,1999,5,1899.05
P444117,Product_4121,Brand_47,Clothing,Women's Clothing,Female,1299,25,974.25
P530438,Product_9363,Brand_28,Clothing,Kids' Clothing,Girl Kid,1999,40,1199.4
P171300,Product_9151,Brand_40,Footwear,Men's Footwear,Female,1499,50,749.5
P513823,Product_8511,Brand_39,Furniture,Living Room Furniture,Boy Kid,499,40,299.4
P172037,Product_3999,Brand_32,Clothing,Women's Clothing,Girl Kid,1299,5,1234.05
P584043,Product_4094,Brand_46,Furniture,Living Room Furniture,Female,2499,20,1999.2
P111873,Product_2495,Brand_42,Furniture,Living Room Furniture,Girl Kid,2499,30,1749.3
P066413,Product_9707,Brand_4,Footwear,Men's Footwear,Male,699,15,594.15
P397316,Product_4044,Brand_40,Footwear,Women's Footwear,Boy Kid,1499,25,1124.25
P056406,Product_4983,Brand_13,Furniture,Living Room Furniture,Boy Kid,499,15,424.15
P630570,Product_7769,Brand_25,Pet Supplies,Grooming & Care,Boy Kid,1999,15,1699.15
P050045,Product_2736,Brand_7,Furniture,Living Room Furniture,Male,699,50,349.5
P473002,Product_8025,Brand_40,Furniture,Living Room Furniture,Boy Kid,1499,10,1349.1
P686727,Product_8650,Brand_41,Clothing,Women's Clothing,Unisex,1499,25,1124.25
P563505,Product_6839,Brand_21,Clothing,Women's Clothing,Male,1299,30,909.3
P411104,Product_8681,Brand_34,Clothing,Men's Clothing,Male,1499,50,749.5
P361519,Product_6128,Brand_19,Clothing,Kids' Clothing,Unisex,1299,25,974.25
P058330,Product_7098,Brand_16,Furniture,Living Room Furniture,Girl Kid,499,30,349.3
P713050,Product_1236,Brand_38,Clothing,Men's Clothing,Boy Kid,699,10,629.1
P297985,Product_3594,Brand_6,Clothing,Women's Clothing,Female,1999,5,1899.05
P595281,Product_4477,Brand_17,Clothing,Kids' Clothing,Unisex,2499,10,2249.1
P900186,Product_8512,Brand_48,Clothing,Men's Clothing,Unisex,499,25,374.25
P448815,Product_6521,Brand_24,Footwear,Women's Footwear,Male,1999,20,1599.2
P478583,Product_9181,Brand_45,Pet Supplies,Grooming & Care,Boy Kid,2499,20,1999.2
P230284,Product_2270,Brand_45,Footwear,Women's Footwear,Male,1299,20,1039.2
P902732,Product_6468,Brand_33,Furniture,Living Room Furniture,Boy Kid,1999,15,1699.15
P602046,Product_7651,Brand_45,Footwear,Men's Footwear,Unisex,999,20,799.2
P688096,Product_9790,Brand_48,Furniture,Living Room Furniture,Boy Kid,699,30,489.3
P371849,Product_7183,Brand_18,Clothing,Women's Clothing,Female,699,10,629.1
P931217,Product_4680,Brand_46,Footwear,Men's Footwear,Boy Kid,999,25,749.25
P614048,Product_6554,Brand_9,Footwear,Men's Footwear,Female,699,25,524.25
P166554,Product_5634,Brand_39,Footwear,Women's Footwear,Girl Kid,1999,30,1399.3
P090850,Product_4154,Brand_29,Pet Supplies,Grooming & Care,Female,2499,5,2374.05
P252685,Product_4568,Brand_38,Clothing,Men's Clothing,Girl Kid,1299,20,1039.2
P558720,Product_8672,Brand_49,Pet Supplies,Grooming & Care,Female,1499,20,1199.2
P530584,Product_8084,Brand_47,Clothing,Kids' Clothing,Male,699,5,664.05
P862724,Product_9401,Brand_47,Furniture,Living Room Furniture,Unisex,699,50,349.5
P581880,Product_5284,Brand_7,Furniture,Living Room Furniture,Boy Kid,999,50,499.5
P358310,Product_7165,Brand_8,Clothing,Women's Clothing,Boy Kid,1299,10,1169.1
P331747,Product_9708,Brand_7,Footwear,Women's Footwear,Male,699,20,559.2
P857821,Product_3082,Brand_5,Furniture,Living Room Furniture,Boy Kid,999,15,849.15
P008703,Product_3602,Brand_37,Clothing,Kids' Clothing,Boy Kid,499,50,249.5
P821594,Product_7896,Brand_32,Clothing,Men's Clothing,Boy Kid,999,50,499.5
P891339,Product_2513,Brand_34,Furniture,Living Room Furniture,Boy Kid,999,10,899.1
P781027,Product_1928,Brand_15,Clothing,Men's Clothing,Male,2499,25,1874.25
P069187,Product_3433,Brand_16,Furniture,Living Room Furniture,Boy Kid,699,25,524.25
P713285,Product_3968,Brand_26,Footwear,Men's Footwear,Boy Kid,499,10,449.1
P993586,Product_6050,Brand_8,Footwear,Women's Footwear,Female,1299,50,649.5
P748470,Product_5472,Brand_11,Furniture,Living Room Furniture,Girl Kid,2499,50,1249.5
P088361,Product_2438,Brand_41,Furniture,Living Room Furniture,Unisex,999,15,849.15
P379424,Product_9407,Brand_36,Clothing,Women's Clothing,Male,1499,25,1124.25
P230482,Product_9742,Brand_15,Footwear,Men's Footwear,Unisex,2499,20,1999.2
P604973,Product_5233,Brand_1,Clothing,Kids' Clothing,Boy Kid,499,10,449.1
P008362,Product_7459,Brand_21,Footwear,Women's Footwear,Unisex,1499,40,899.4
P637291,Product_5738,Brand_33,Clothing,Kids' Clothing,Male,1499,50,749.5
P965297,Product_9173,Brand_23,Clothing,Kids' Clothing,Unisex,999,15,849.15
P066865,Product_6512,Brand_4,Clothing,Men's Clothing,Unisex,1499,40,899.4
P978852,Product_5821,Brand_20,Footwear,Women's Footwear,Female,2499,50,1249.5
P875247,Product_4929,Brand_21,Pet Supplies,Grooming & Care,Boy Kid,699,5,664.05
P014866,Product_2490,Brand_44,Footwear,Women's Footwear,Boy Kid,499,15,424.15
P556878,Product_6029,Brand_50,Pet Supplies,Grooming & Care,Boy Kid,699,50,349.5
P616012,Product_4840,Brand_32,Clothing,Kids' Clothing,Girl Kid,2499,5,2374.05
P073642,Product_9233,Brand_6,Furniture,Living Room Furniture,Girl Kid,2499,10,2249.1
P963096,Product_9934,Brand_19,Furniture,Living Room Furniture,Unisex,1999,40,1199.4
P107250,Product_3413,Brand_42,Clothing,Men's Clothing,Unisex,1999,30,1399.3
P942132,Product_3486,Brand_27,Furniture,Living Room Furniture,Male,2499,25,1874.25
P142716,Product_5533,Brand_36,Footwear,Men's Footwear,Unisex,999,5,949.05
P957437,Product_1374,Brand_5,Clothing,Women's Clothing,Female,499,50,249.5
P290438,Product_4009,Brand_30,Furniture,Living Room Furniture,Female,499,40,299.4
P485856,Product_3474,Brand_18,Furniture,Living Room Furniture,Unisex,999,15,849.15
P593955,Product_3889,Brand_34,Furniture,Living Room Furniture,Boy Kid,2499,40,1499.4
P105075,Product_4141,Brand_32,Footwear,Women's Footwear,Female,1999,25,1499.25
P755050,Product_2098,Brand_21,Clothing,Men's Clothing,Girl Kid,699,50,349.5
P383330,Product_9982,Brand_41,Clothing,Women's Clothing,Boy Kid,1499,50,749.5
P002061,Product_1367,Brand_30,Furniture,Living Room Furniture,Unisex,2499,20,1999.2
P052008,Product_5907,Brand_30,Footwear,Men's Footwear,Unisex,2499,25,1874.25
P176186,Product_9983,Brand_49,Clothing,Women's Clothing,Unisex,1499,40,899.4
P936412,Product_7473,Brand_2,Furniture,Living Room Furniture,Female,999,15,849.15
P762851,Product_5209,Brand_2,Clothing,Kids' Clothing,Unisex,499,40,299.4
P807366,Product_1809,Brand_9,Footwear,Women's Footwear,Male,1999,10,1799.1
P509781,Product_2769,Brand_2,Footwear,Women's Footwear,Unisex,1999,10,1799.1
P985559,Product_7553,Brand_43,Clothing,Women's Clothing,Unisex,2499,25,1874.25
P695010,Product_9926,Brand_47,Furniture,Living Room Furniture,Unisex,2499,30,1749.3
P377594,Product_2442,Brand_25,Footwear,Women's Footwear,Boy Kid,1499,15,1274.15
P160669,Product_3417,Brand_9,Clothing,Men's Clothing,Unisex,499,30,349.3
P542727,Product_2666,Brand_38,Footwear,Men's Footwear,Unisex,999,15,849.15
P337861,Product_4612,Brand_19,Clothing,Men's Clothing,Unisex,999,10,899.1
P099729,Product_7648,Brand_14,Furniture,Living Room Furniture,Female,699,50,349.5
P039771,Product_9881,Brand_23,Clothing,Kids' Clothing,Male,2499,40,1499.4
P193156,Product_2433,Brand_28,Pet Supplies,Grooming & Care,Male,1499,5,1424.05
P230404,Product_7038,Brand_36,Clothing,Men's Clothing,Boy Kid,999,40,599.4
P706993,Product_7297,Brand_4,Clothing,Kids' Clothing,Female,1499,30,1049.3
P709978,Product_6437,Brand_31,Clothing,Men's Clothing,Male,2499,25,1874.25
P333855,Product_3898,Brand_43,Footwear,Men's Footwear,Boy Kid,1999,50,999.5
P162705,Product_7670,Brand_12,Clothing,Kids' Clothing,Boy Kid,999,5,949.05
P258620,Product_2006,Brand_26,Furniture,Living Room Furniture,Female,1299,40,779.4
P156246,Product_5109,Brand_20,Clothing,Women's Clothing,Boy Kid,499,10,449.1
P201777,Product_7213,Brand_25,Pet Supplies,Grooming & Care,Male,999,30,699.3
P845502,Product_2264,Brand_11,Footwear,Men's Footwear,Boy Kid,699,20,559.2
P615610,Product_4363,Brand_1,Footwear,Men's Footwear,Female,1299,30,909.3
P077408,Product_9055,Brand_19,Furniture,Living Room Furniture,Female,699,50,349.5
P466197,Product_7201,Brand_36,Footwear,Women's Footwear,Female,1999,20,1599.2
P522039,Product_3389,Brand_45,Clothing,Men's Clothing,Unisex,1999,50,999.5
P144926,Product_2707,Brand_8,Footwear,Men's Footwear,Male,2499,30,1749.3
P345729,Product_2130,Brand_22,Footwear,Women's Footwear,Girl Kid,1299,15,1104.15
P115250,Product_3570,Brand_49,Furniture,Living Room Furniture,Girl Kid,1299,20,1039.2
P092593,Product_1970,Brand_36,Clothing,Men's Clothing,Unisex,1499,15,1274.15
P489944,Product_4921,Brand_15,Footwear,Men's Footwear,Unisex,999,50,499.5
P512878,Product_3659,Brand_35,Footwear,Men's Footwear,Female,499,50,249.5
P832786,Product_4289,Brand_35,Footwear,Men's Footwear,Boy Kid,2499,40,1499.4
P999568,Product_9189,Brand_46,Clothing,Men's Clothing,Boy Kid,499,25,374.25
P567835,Product_4769,Brand_28,Footwear,Men's Footwear,Female,499,25,374.25
P094377,Product_5544,Brand_48,Footwear,Women's Footwear,Boy Kid,499,50,249.5
P569815,Product_3485,Brand_26,Furniture,Living Room Furniture,Girl Kid,999,40,599.4
P486449,Product_3020,Brand_4,Footwear,Women's Footwear,Boy Kid,499,50,249.5
P539158,Product_6969,Brand_23,Pet Supplies,Grooming & Care,Female,1499,25,1124.25
P574429,Product_3709,Brand_18,Clothing,Women's Clothing,Girl Kid,999,50,499.5
P275754,Product_4248,Brand_9,Clothing,Women's Clothing,Girl Kid,699,20,559.2
P181488,Product_2587,Brand_50,Clothing,Men's Clothing,Boy Kid,999,30,699.3
P100245,Product_6632,Brand_26,Furniture,Living Room Furniture,Male,999,25,749.25
P169384,Product_5939,Brand_29,Footwear,Women's Footwear,Male,1299,5,1234.05
P142578,Product_3576,Brand_17,Footwear,Women's Footwear,Girl Kid,1299,20,1039.2
P405844,Product_1810,Brand_16,Clothing,Men's Clothing,Unisex,1299,10,1169.1
P995411,Product_9828,Brand_16,Clothing,Women's Clothing,Boy Kid,2499,5,2374.05
P791666,Product_2749,Brand_2,Pet Supplies,Grooming & Care,Unisex,1499,10,1349.1
P785549,Product_8504,Brand_42,Clothing,Men's Clothing,Girl Kid,499,10,449.1
P521879,Product_7392,Brand_10,Clothing,Women's Clothing,Boy Kid,1499,10,1349.1
P387104,Product_2338,Brand_8,Clothing,Men's Clothing,Boy Kid,999,50,499.5
P372118,Product_8005,Brand_38,Clothing,Women's Clothing,Boy Kid,2499,30,1749.3
P127513,Product_3064,Brand_30,Footwear,Women's Footwear,Male,1299,5,1234.05
P123583,Product_1229,Brand_42,Clothing,Men's Clothing,Unisex,699,20,559.2
P383833,Product_5118,Brand_39,Clothing,Men's Clothing,Boy Kid,2499,10,2249.1
P807481,Product_4039,Brand_15,Clothing,Women's Clothing,Girl Kid,1499,5,1424.05
P626560,Product_9708,Brand_13,Pet Supplies,Grooming & Care,Unisex,999,50,499.5
P195384,Product_8656,Brand_11,Clothing,Kids' Clothing,Male,2499,25,1874.25
P458841,Product_1648,Brand_4,Footwear,Men's Footwear,Male,999,20,799.2
P255673,Product_3765,Brand_24,Clothing,Kids' Clothing,Boy Kid,699,20,559.2
P701353,Product_8974,Brand_4,Clothing,Men's Clothing,Girl Kid,1999,20,1599.2
P770910,Product_8589,Brand_28,Clothing,Men's Clothing,Female,2499,10,2249.1
P065701,Product_6121,Brand_43,Footwear,Men's Footwear,Unisex,2499,30,1749.3
P022905,Product_7499,Brand_21,Footwear,Men's Footwear,Female,2499,20,1999.2
P144538,Product_5237,Brand_27,Pet Supplies,Grooming & Care,Boy Kid,1499,25,1124.25
P831042,Product_4564,Brand_23,Pet Supplies,Grooming & Care,Male,1999,10,1799.1
P757556,Product_3873,Brand_25,Footwear,Men's Footwear,Male,1999,15,1699.15
P712863,Product_9427,Brand_23,Footwear,Men's Footwear,Unisex,2499,5,2374.05
P697948,Product_9456,Brand_46,Clothing,Kids' Clothing,Girl Kid,499,40,299.4
P728811,Product_1317,Brand_42,Pet Supplies,Grooming & Care,Female,999,10,899.1
P683236,Product_3975,Brand_3,Clothing,Women's Clothing,Female,1999,30,1399.3
P740079,Product_5205,Brand_9,Footwear,Women's Footwear,Male,1299,5,1234.05
P169513,Product_5348,Brand_44,Clothing,Women's Clothing,Unisex,2499,15,2124.15
P844674,Product_3644,Brand_31,Clothing,Women's Clothing,Girl Kid,499,40,299.4
P772951,Product_1190,Brand_9,Footwear,Men's Footwear,Unisex,2499,15,2124.15
P170035,Product_7204,Brand_36,Clothing,Women's Clothing,Boy Kid,1499,5,1424.05
P784963,Product_2220,Brand_2,Pet Supplies,Grooming & Care,Male,499,50,249.5
P794650,Product_2402,Brand_1,Clothing,Men's Clothing,Male,1999,25,1499.25
P053671,Product_7411,Brand_28,Pet Supplies,Grooming & Care,Unisex,1499,40,899.4
P186558,Product_7137,Brand_22,Furniture,Living Room Furniture,Male,1999,5,1899.05
P389894,Product_1160,Brand_36,Clothing,Men's Clothing,Male,999,25,749.25
P410633,Product_1854,Brand_23,Footwear,Men's Footwear,Unisex,999,20,799.2
P336048,Product_4566,Brand_20,Clothing,Women's Clothing,Female,1299,25,974.25
P888419,Product_2375,Brand_37,Clothing,Kids' Clothing,Unisex,1499,50,749.5
P596813,Product_6324,Brand_11,Footwear,Men's Footwear,Unisex,1299,5,1234.05
P499756,Product_5722,Brand_46,Furniture,Living Room Furniture,Unisex,1999,25,1499.25
P149987,Product_3587,Brand_12,Footwear,Women's Footwear,Boy Kid,1999,15,1699.15
P971771,Product_7234,Brand_22,Footwear,Men's Footwear,Male,499,10,449.1
P860653,Product_5432,Brand_29,Clothing,Kids' Clothing,Female,499,50,249.5
P601070,Product_2666,Brand_12,Footwear,Women's Footwear,Unisex,1499,5,1424.05
P172013,Product_7609,Brand_29,Furniture,Living Room Furniture,Girl Kid,1499,10,1349.1
