customer_id,customer_gender,age_group,prime_member,customer_city,customer_state,repeat_customer
39990056,Male,36-51,No,Bangalore,RJ,Yes
42628664,Female,22-35,Yes,Pune,DL,Yes
18762887,Others,52-65,Yes,Jaipur,RJ,No
43729159,Others,18-21,Yes,Jaipur,DL,Yes
17202269,Others,65+,No,Mumbai,TS,Yes
69440364,Female,18-21,Yes,Jaipur,KA,Yes
98996106,Male,65+,No,Bangalore,KA,Yes
86913829,Male,65+,Yes,Delhi,RJ,No
12650399,Others,18-21,No,Ahmedabad,MH,Yes
54395567,Others,18-21,Yes,Hyderabad,RJ,Yes
91215222,Male,18-21,Yes,Hyderabad,RJ,No
35168128,Others,36-51,No,Delhi,KA,Yes
47703393,Others,65+,Yes,Chennai,TN,No
82691800,Female,65+,Yes,Ahmedabad,MH,No
14972512,Male,52-65,No,Chennai,TS,No
15222622,Male,52-65,No,Mumbai,TS,No
79504295,Female,22-35,No,Hyderabad,GJ,Yes
91340424,Female,18-21,No,Bangalore,GJ,Yes
69718870,Male,52-65,Yes,Delhi,TN,No
40921676,Male,18-21,Yes,Delhi,MH,No
65554094,Female,36-51,No,Bangalore,MH,Yes
25331151,Female,18-21,Yes,Jaipur,KA,No
53754913,Female,36-51,No,Bangalore,MH,Yes
28028877,Others,18-21,Yes,Mumbai,MH,Yes
39308258,Male,22-35,Yes,Pune,TN,No
70820650,Male,65+,Yes,Delhi,MH,Yes
33554775,Male,22-35,No,Ahmedabad,DL,No
46152216,Male,36-51,No,Chennai,KA,Yes
25160065,Others,65+,No,Delhi,TS,No
37183406,Male,22-35,No,Delhi,DL,No
14749859,Others,22-35,No,Jaipur,DL,Yes
33213274,Female,18-21,Yes,Delhi,TN,Yes
94096389,Others,36-51,Yes,Hyderabad,DL,Yes
24950242,Female,36-51,Yes,Jaipur,DL,Yes
58553404,Female,65+,No,Bangalore,RJ,Yes
62176256,Female,18-21,No,Chennai,TN,No
53928381,Others,18-21,No,Delhi,DL,No
47131959,Male,18-21,Yes,Delhi,TN,Yes
30551849,Male,65+,Yes,Chennai,TS,Yes
32750881,Male,22-35,No,Ahmedabad,TS,Yes
35160666,Female,65+,Yes,Jaipur,GJ,Yes
44911024,Male,22-35,No,Mumbai,TS,Yes
16271409,Others,22-35,No,Chennai,TN,Yes
11235522,Female,36-51,No,Chennai,MH,No
45078302,Others,52-65,No,Delhi,RJ,Yes
43758200,Female,52-65,No,Ahmedabad,TN,Yes
31728442,Female,52-65,Yes,Jaipur,RJ,No
32554745,Female,18-21,No,Ahmedabad,MH,Yes
93342090,Others,52-65,No,Ahmedabad,DL,No
22995614,Others,65+,Yes,Hyderabad,TN,Yes
11067359,Others,65+,No,Bangalore,GJ,Yes
80356324,Female,65+,No,Mumbai,MH,No
52948419,Male,52-65,Yes,Jaipur,RJ,No
41279711,Female,18-21,No,Bangalore,TN,No
39455934,Male,22-35,Yes,Pune,DL,Yes
10895549,Female,36-51,Yes,Chennai,TN,No
27151234,Others,52-65,No,Chennai,TS,Yes
71947003,Female,22-35,Yes,Bangalore,DL,Yes
99875087,Male,22-35,Yes,Jaipur,KA,No
54622408,Male,52-65,No,Pune,DL,Yes
53000344,Male,52-65,Yes,Jaipur,TS,No
33151512,Male,36-51,No,Delhi,RJ,Yes
62502486,Others,36-51,No,Delhi,MH,No
44381363,Male,18-21,Yes,Jaipur,TS,No
50896654,Female,18-21,Yes,Pune,KA,No
94766030,Others,36-51,Yes,Bangalore,DL,No
16074269,Female,22-35,Yes,Delhi,KA,No
26610918,Male,22-35,Yes,Delhi,TN,No
33976123,Others,36-51,No,Mumbai,DL,No
33847743,Others,18-21,No,Pune,DL,No
80143118,Female,22-35,Yes,Ahmedabad,TN,Yes
96446403,Male,52-65,Yes,Chennai,RJ,No
16716603,Others,18-21,No,Jaipur,TS,Yes
31639236,Male,65+,No,Mumbai,MH,Yes
16218987,Male,65+,No,Mumbai,KA,No
30421316,Female,36-51,No,Chennai,RJ,No
71303463,Female,65+,Yes,Jaipur,MH,Yes
84213864,Female,18-21,No,Jaipur,TN,Yes
63225431,Male,52-65,No,Mumbai,RJ,Yes
25185131,Male,52-65,Yes,Chennai,KA,Yes
17430862,Male,22-35,No,Jaipur,TS,Yes
69787224,Male,65+,No,Mumbai,KA,Yes
13775999,Others,52-65,Yes,Pune,DL,Yes
98741304,Male,52-65,Yes,Delhi,GJ,No
50662544,Others,18-21,No,Ahmedabad,MH,Yes
65753169,Male,36-51,Yes,Pune,TS,No
87472606,Male,65+,No,Jaipur,TN,Yes
97252544,Female,22-35,No,Jaipur,TS,No
94370986,Others,36-51,Yes,Bangalore,KA,No
61789738,Male,65+,No,Jaipur,MH,Yes
13206143,Others,36-51,Yes,Delhi,RJ,No
26981886,Female,36-51,Yes,Ahmedabad,KA,No
41047723,Male,52-65,No,Mumbai,GJ,No
39670743,Male,18-21,Yes,Hyderabad,RJ,Yes
18401481,Others,65+,Yes,Mumbai,MH,Yes
85265560,Others,18-21,No,Delhi,RJ,No
81924717,Male,18-21,Yes,Delhi,TN,Yes
82586583,Female,65+,Yes,Mumbai,MH,No
33658434,Male,18-21,No,Pune,DL,No
21045225,Others,52-65,No,Ahmedabad,MH,No
63920046,Male,36-51,Yes,Hyderabad,MH,Yes
10871703,Female,65+,No,Chennai,KA,No
96819782,Others,22-35,Yes,Bangalore,TS,No
88014580,Female,18-21,Yes,Mumbai,MH,No
97355452,Others,36-51,No,Ahmedabad,MH,No
51526317,Others,52-65,Yes,Mumbai,DL,Yes
37527303,Others,22-35,Yes,Delhi,MH,No
78185245,Others,36-51,Yes,Hyderabad,DL,Yes
77965811,Male,36-51,Yes,Delhi,RJ,No
80975797,Female,22-35,Yes,Chennai,TN,No
10919768,Female,18-21,Yes,Chennai,RJ,No
15485360,Male,65+,No,Jaipur,TN,Yes
34165145,Male,18-21,Yes,Pune,MH,Yes
58488671,Female,65+,Yes,Ahmedabad,TS,No
67772960,Male,18-21,No,Ahmedabad,GJ,No
44115575,Male,18-21,No,Delhi,MH,No
79577711,Others,36-51,No,Delhi,RJ,Yes
73704904,Others,22-35,Yes,Jaipur,DL,Yes
50552188,Female,65+,No,Delhi,GJ,Yes
99596570,Male,36-51,No,Hyderabad,MH,Yes
52715731,Female,65+,Yes,Ahmedabad,TN,Yes
92346667,Others,22-35,Yes,Delhi,GJ,Yes
84381412,Female,18-21,No,Chennai,TN,Yes
60584811,Female,52-65,Yes,Ahmedabad,KA,Yes
75475738,Male,36-51,Yes,Chennai,RJ,No
96338438,Female,18-21,No,Delhi,MH,No
20828048,Male,22-35,Yes,Mumbai,MH,No
13032368,Others,22-35,Yes,Bangalore,MH,No
52408555,Male,22-35,No,Chennai,RJ,No
98407382,Male,18-21,Yes,Chennai,TS,Yes
10794105,Female,36-51,No,Bangalore,DL,No
46500149,Female,65+,No,Ahmedabad,MH,No
60138683,Female,52-65,No,Chennai,TS,No
17789453,Female,52-65,No,Chennai,DL,Yes
47840127,Others,36-51,No,Jaipur,KA,No
44240996,Female,36-51,No,Pune,RJ,No
85641585,Others,36-51,No,Pune,TN,Yes
49676549,Others,36-51,No,Delhi,GJ,No
17926172,Others,18-21,Yes,Hyderabad,TS,No
35947710,Others,65+,Yes,Hyderabad,DL,Yes
44217065,Female,52-65,Yes,Hyderabad,GJ,Yes
86396852,Male,52-65,No,Pune,DL,No
87781348,Others,18-21,Yes,Delhi,DL,No
28552351,Others,36-51,Yes,Ahmedabad,DL,No
80401372,Others,52-65,Yes,Hyderabad,GJ,Yes
15615730,Others,65+,Yes,Jaipur,TS,No
97109011,Others,52-65,No,Delhi,TS,No
39140210,Female,22-35,No,Ahmedabad,DL,Yes
82188542,Male,65+,Yes,Pune,GJ,Yes
62700019,Male,65+,No,Jaipur,MH,No
62213416,Male,36-51,Yes,Pune,MH,Yes
44299811,Others,36-51,Yes,Delhi,MH,No
90534572,Male,52-65,No,Mumbai,KA,Yes
53033921,Others,36-51,Yes,Jaipur,RJ,Yes
29497704,Male,18-21,Yes,Jaipur,MH,No
82256537,Others,65+,No,Pune,TS,No
38201422,Male,18-21,Yes,Ahmedabad,TN,No
96887367,Others,65+,No,Hyderabad,KA,Yes
67544928,Others,52-65,Yes,Pune,TN,Yes
65133363,Others,18-21,No,Jaipur,MH,Yes
92148571,Female,65+,Yes,Hyderabad,KA,No
59788688,Others,52-65,Yes,Hyderabad,DL,Yes
83632971,Female,18-21,Yes,Bangalore,TN,No
89940847,Male,65+,No,Jaipur,KA,No
68917850,Male,18-21,No,Bangalore,DL,Yes
31670899,Male,22-35,No,Ahmedabad,MH,No
59780549,Female,52-65,Yes,Jaipur,GJ,No
67529713,Male,36-51,Yes,Jaipur,DL,No
12291503,Male,36-51,Yes,Delhi,MH,No
80483491,Male,22-35,No,Ahmedabad,RJ,Yes
13046331,Others,52-65,Yes,Hyderabad,MH,No
62639166,Male,18-21,No,Bangalore,MH,No
85055109,Female,22-35,Yes,Chennai,MH,Yes
40507289,Female,18-21,Yes,Jaipur,TN,Yes
55562015,Female,52-65,No,Bangalore,GJ,Yes
15438959,Male,52-65,No,Pune,KA,Yes
75943321,Others,52-65,Yes,Bangalore,TS,No
33782281,Female,22-35,No,Mumbai,TN,Yes
72443435,Female,52-65,No,Pune,TN,Yes
71242406,Others,36-51,Yes,Ahmedabad,MH,Yes
53551683,Female,22-35,No,Mumbai,RJ,Yes
13743461,Female,18-21,No,Ahmedabad,TS,Yes
87491118,Female,36-51,Yes,Chennai,TS,No
22862691,Male,22-35,Yes,Hyderabad,TN,No
97411405,Female,18-21,No,Ahmedabad,KA,No
73820590,Others,18-21,No,Pune,DL,No
92460077,Others,52-65,No,Pune,RJ,No
44726145,Male,18-21,Yes,Jaipur,TS,Yes
93472265,Others,65+,No,Hyderabad,TS,No
51164149,Male,65+,No,Delhi,TN,No
20142435,Female,22-35,No,Mumbai,MH,No
64080126,Female,18-21,No,Pune,KA,Yes
52102039,Male,36-51,Yes,Hyderabad,MH,No
68402613,Others,65+,No,Ahmedabad,KA,No
93527992,Female,52-65,No,Chennai,RJ,No
78561877,Male,36-51,Yes,Chennai,GJ,No
66412088,Female,52-65,Yes,Chennai,MH,No
69853419,Female,65+,No,Delhi,TS,Yes
67924596,Female,22-35,No,Ahmedabad,TS,No
34807886,Others,18-21,No,Mumbai,MH,Yes
81355087,Female,18-21,No,Ahmedabad,TS,Yes
85971883,Female,36-51,Yes,Hyderabad,RJ,No
73307815,Female,22-35,Yes,Chennai,MH,Yes
87346401,Female,65+,Yes,Ahmedabad,RJ,Yes
24684772,Male,22-35,No,Mumbai,TN,No
93849693,Male,65+,Yes,Chennai,MH,No
82103834,Others,18-21,Yes,Chennai,KA,No
39681731,Female,36-51,Yes,Mumbai,TN,No
20604936,Female,36-51,Yes,Chennai,MH,Yes
50086700,Others,65+,Yes,Mumbai,GJ,No
58159971,Male,52-65,No,Hyderabad,MH,No
95911535,Female,18-21,Yes,Hyderabad,MH,Yes
15147828,Others,18-21,Yes,Chennai,MH,Yes
68427934,Male,22-35,No,Bangalore,DL,Yes
67481938,Others,52-65,No,Pune,KA,No
94061700,Female,52-65,Yes,Bangalore,RJ,Yes
52185036,Others,36-51,No,Ahmedabad,TN,Yes
56920022,Male,18-21,Yes,Ahmedabad,TS,No
81583845,Others,22-35,No,Chennai,MH,No
13029507,Male,36-51,No,Mumbai,RJ,No
33018599,Others,52-65,No,Jaipur,RJ,No
31075432,Female,52-65,No,Jaipur,KA,No
13833676,Others,65+,No,Bangalore,MH,Yes
91422928,Female,22-35,No,Mumbai,MH,No
52158754,Others,22-35,Yes,Hyderabad,TN,Yes
96640660,Male,18-21,No,Hyderabad,MH,Yes
98535640,Female,22-35,Yes,Bangalore,MH,Yes
47547937,Others,18-21,No,Ahmedabad,GJ,No
95065013,Others,36-51,Yes,Chennai,TS,Yes
87826886,Others,18-21,Yes,Bangalore,TS,No
55434912,Male,52-65,Yes,Bangalore,MH,Yes
64346131,Female,22-35,No,Hyderabad,RJ,Yes
71498430,Others,52-65,Yes,Delhi,RJ,No
96983037,Female,52-65,No,Delhi,TN,No
96821714,Female,65+,Yes,Delhi,KA,No
34494634,Female,18-21,No,Pune,KA,Yes
61820044,Male,36-51,Yes,Delhi,MH,No
50219302,Female,36-51,No,Mumbai,MH,Yes
24912328,Male,65+,No,Hyderabad,RJ,No
56450518,Female,18-21,Yes,Delhi,KA,No
59789949,Female,18-21,Yes,Delhi,GJ,No
78705355,Male,36-51,No,Mumbai,RJ,Yes
24869387,Male,18-21,Yes,Jaipur,DL,Yes
81706458,Male,18-21,No,Ahmedabad,MH,Yes
28065672,Others,18-21,Yes,Ahmedabad,KA,No
27534885,Male,65+,No,Bangalore,KA,Yes
11493260,Female,36-51,Yes,Mumbai,MH,Yes
99477669,Others,65+,No,Mumbai,DL,Yes
14659066,Others,52-65,Yes,Bangalore,DL,Yes
94077381,Male,52-65,No,Jaipur,MH,Yes
78456758,Others,52-65,Yes,Pune,TS,No
25880558,Female,18-21,No,Bangalore,TN,Yes
40960095,Male,52-65,No,Delhi,MH,No
66885039,Female,22-35,Yes,Mumbai,TN,No
97616610,Male,36-51,No,Pune,RJ,No
76468229,Female,36-51,No,Bangalore,DL,No
80492818,Others,18-21,Yes,Pune,KA,Yes
64933807,Female,18-21,Yes,Hyderabad,DL,Yes
91941820,Male,36-51,Yes,Mumbai,TS,Yes
12791116,Male,52-65,Yes,Mumbai,TN,Yes
53318286,Others,22-35,Yes,Jaipur,MH,Yes
39296013,Female,52-65,No,Pune,MH,Yes
35388311,Male,18-21,No,Mumbai,MH,Yes
15617476,Others,52-65,No,Bangalore,TN,Yes
72323987,Female,36-51,No,Chennai,MH,No
75583887,Male,36-51,Yes,Bangalore,MH,Yes
82684420,Others,65+,Yes,Mumbai,RJ,Yes
78021752,Others,52-65,No,Jaipur,TS,No
89514674,Male,36-51,Yes,Chennai,TS,Yes
42078306,Female,22-35,No,Ahmedabad,RJ,Yes
10801403,Male,52-65,Yes,Delhi,GJ,No
81090521,Others,36-51,No,Mumbai,TS,No
12958833,Female,22-35,Yes,Jaipur,RJ,No
39011489,Female,52-65,Yes,Chennai,GJ,Yes
20256159,Male,22-35,No,Ahmedabad,TN,Yes
78030471,Female,18-21,Yes,Jaipur,MH,No
38507731,Male,18-21,No,Ahmedabad,KA,No
13697931,Female,36-51,Yes,Chennai,MH,No
85407469,Others,22-35,Yes,Jaipur,GJ,No
38173326,Female,65+,No,Bangalore,TN,No
83827272,Others,52-65,No,Mumbai,MH,Yes
76243313,Others,65+,Yes,Ahmedabad,TS,No
66133428,Others,22-35,Yes,Hyderabad,GJ,Yes
33560984,Others,22-35,Yes,Delhi,MH,No
64152300,Male,36-51,Yes,Hyderabad,MH,Yes
37636123,Others,52-65,Yes,Mumbai,TS,Yes
55154585,Female,65+,No,Jaipur,RJ,Yes
40887728,Female,65+,Yes,Delhi,TS,No
75234573,Female,36-51,No,Hyderabad,TS,Yes
63768245,Male,18-21,Yes,Ahmedabad,GJ,Yes
82699148,Male,65+,Yes,Jaipur,TN,Yes
46006156,Others,52-65,No,Pune,MH,No
90117917,Female,52-65,Yes,Jaipur,KA,No
81550243,Others,18-21,Yes,Bangalore,MH,Yes
14919734,Female,65+,Yes,Jaipur,KA,Yes
94626927,Male,22-35,No,Pune,GJ,Yes
82356862,Others,18-21,Yes,Jaipur,MH,No
86247918,Male,65+,No,Delhi,DL,Yes
43216939,Male,65+,Yes,Ahmedabad,TS,Yes
18467513,Others,22-35,Yes,Ahmedabad,KA,No
66913625,Female,65+,Yes,Jaipur,TN,Yes
62748228,Male,65+,Yes,Hyderabad,GJ,No
49437995,Male,65+,Yes,Hyderabad,DL,Yes
89005354,Male,36-51,Yes,Hyderabad,MH,Yes
33609563,Others,22-35,Yes,Hyderabad,GJ,Yes
19401673,Others,18-21,No,Bangalore,TN,No
12998765,Female,18-21,Yes,Hyderabad,KA,Yes
65796406,Others,18-21,No,Pune,MH,Yes
13152507,Female,52-65,No,Delhi,GJ,No
75057821,Female,36-51,No,Hyderabad,DL,Yes
74763045,Male,36-51,No,Ahmedabad,GJ,Yes
36450182,Male,52-65,Yes,Jaipur,TN,No
28291653,Male,36-51,Yes,Hyderabad,KA,No
28870621,Female,52-65,Yes,Delhi,MH,Yes
45719823,Female,36-51,Yes,Mumbai,TN,Yes
65386698,Others,52-65,No,Ahmedabad,DL,Yes
80190463,Female,36-51,Yes,Delhi,MH,Yes
91675050,Female,22-35,Yes,Ahmedabad,RJ,No
99043800,Male,52-65,Yes,Chennai,MH,Yes
77466429,Female,52-65,No,Ahmedabad,TS,No
49286415,Female,18-21,No,Mumbai,RJ,No
35336810,Male,22-35,No,Bangalore,KA,No
23114382,Female,36-51,Yes,Pune,DL,Yes
18847177,Female,18-21,Yes,Ahmedabad,TS,No
19178379,Female,65+,Yes,Ahmedabad,TN,Yes
71540541,Male,22-35,No,Delhi,KA,No
60366715,Female,18-21,Yes,Delhi,TS,Yes
79634503,Male,22-35,No,Mumbai,DL,No
